year_frac,wsa_global,wsa_nh,wsa_sh,bsa_global,bsa_nh,bsa_sh
2003.041667,0.255075,0.279106,0.192008,0.258259,0.291990,0.169779
2003.125000,0.278084,0.308369,0.192069,0.275816,0.313492,0.168839
2003.208333,0.280411,0.312810,0.188289,0.269247,0.305272,0.166813
2003.291667,0.261243,0.289213,0.181764,0.246356,0.275144,0.164554
2003.375000,0.240011,0.262419,0.176157,0.223864,0.245167,0.163162
2003.458333,0.219622,0.235458,0.174394,0.203010,0.216631,0.164110
2003.541667,0.211340,0.224624,0.173394,0.194352,0.205708,0.161910
2003.625000,0.208793,0.220360,0.175728,0.192870,0.204152,0.160620
2003.708333,0.205326,0.214169,0.180056,0.193136,0.204156,0.161649
2003.791667,0.206550,0.215076,0.182353,0.202254,0.216278,0.162465
2003.875000,0.216282,0.228662,0.183771,0.218064,0.238784,0.163615
2003.958333,0.230769,0.248393,0.187001,0.234033,0.261334,0.166232
