year_frac,wsa_global,wsa_nh,wsa_sh,bsa_global,bsa_nh,bsa_sh
2003.041667,0.270977,0.251958,0.303186,0.270635,0.256674,0.294278
2003.125000,0.298756,0.299728,0.296864,0.298384,0.302802,0.289787
2003.208333,0.299956,0.314892,0.266997,0.297812,0.313046,0.264197
2003.291667,0.251399,0.284954,0.162098,0.243153,0.276919,0.153291
2003.375000,0.214992,0.245807,0.128537,0.204925,0.234887,0.120861
2003.458333,0.179568,0.197667,0.128588,0.169139,0.185590,0.122801
2003.541667,0.165493,0.178139,0.129760,0.155193,0.166422,0.123465
2003.625000,0.161222,0.172317,0.130246,0.151503,0.162219,0.121585
2003.708333,0.186675,0.173428,0.219191,0.180828,0.167519,0.213495
2003.791667,0.216813,0.185833,0.282400,0.215036,0.185703,0.277139
2003.875000,0.240000,0.205140,0.302338,0.239077,0.208725,0.293354
2003.958333,0.262880,0.234137,0.309104,0.262090,0.238744,0.299633
