year_frac,aod_global,aod_nh,aod_sh
2002.541667,0.173912,0.241602,0.100242
2002.625000,0.186894,0.234603,0.137850
2002.708333,0.163857,0.188460,0.138793
2002.791667,0.154586,0.153038,0.156003
2002.875000,0.142762,0.142223,0.143206
2002.958333,0.136813,0.141436,0.133376
2003.041667,0.146776,0.158725,0.137892
2003.125000,0.151049,0.173088,0.134515
2003.208333,0.161737,0.223854,0.112386
2003.291667,0.162407,0.236295,0.097915
2003.375000,0.193092,0.292059,0.092868
2003.458333,0.179273,0.259106,0.090509
2003.541667,0.178570,0.247579,0.101859
2003.625000,0.165866,0.210233,0.118680
2003.708333,0.154450,0.167062,0.141292
2003.791667,0.139283,0.140670,0.137960
2003.875000,0.132834,0.139266,0.127470
2003.958333,0.136719,0.145348,0.130201
2004.041667,0.133484,0.146670,0.123675
2004.125000,0.153217,0.190388,0.125034
2004.208333,0.180388,0.254070,0.121077
2004.291667,0.151200,0.212673,0.097724
2004.375000,0.161261,0.221803,0.100586
2004.458333,0.167158,0.227953,0.099817
2004.541667,0.175280,0.244215,0.099594
2004.625000,0.161500,0.198733,0.122509
2004.708333,0.157533,0.156065,0.159029
2004.791667,0.150155,0.156907,0.143894
2004.875000,0.131706,0.137475,0.126909
2004.958333,0.138697,0.146859,0.132575
2005.041667,0.154419,0.175914,0.138553
2005.125000,0.151617,0.179332,0.130655
2005.208333,0.153042,0.201738,0.114040
2005.291667,0.171548,0.244919,0.106900
2005.375000,0.158798,0.221007,0.095104
2005.458333,0.164873,0.228138,0.095132
2005.541667,0.177081,0.238046,0.110406
2005.625000,0.176061,0.210602,0.139655
2005.708333,0.175575,0.176444,0.174673
2005.791667,0.148402,0.153635,0.143433
2005.875000,0.137998,0.146906,0.130402
2005.958333,0.132227,0.140383,0.126102
2006.041667,0.142713,0.160503,0.129540
2006.125000,0.140348,0.169615,0.118127
2006.208333,0.164219,0.225099,0.115649
2006.291667,0.160159,0.232906,0.096499
2006.375000,0.152894,0.221879,0.083314
2006.458333,0.165341,0.229248,0.094163
