year_frac,aod_global,aod_nh,aod_sh
2017.041667,0.150466,0.172580,0.131799
2017.125000,0.161984,0.205070,0.123792
2017.208333,0.165369,0.221769,0.113730
2017.291667,0.183628,0.258698,0.105473
2017.375000,0.182113,0.245034,0.108700
2017.458333,0.168089,0.218423,0.101368
2017.541667,0.176824,0.228059,0.108641
2017.625000,0.178097,0.217756,0.130370
2017.708333,0.184124,0.194152,0.172923
2017.791667,0.165774,0.179405,0.151450
2017.875000,0.149888,0.163195,0.137303
2017.958333,0.151822,0.171649,0.135129
2018.041667,0.159179,0.187504,0.135722
2018.125000,0.156667,0.192441,0.125126
2018.208333,0.161533,0.216067,0.111534
2018.291667,0.174034,0.243231,0.103051
2018.375000,0.170628,0.228838,0.099631
2018.458333,0.183206,0.245619,0.099094
2018.541667,0.195991,0.259943,0.111299
2018.625000,0.184045,0.225280,0.134627
2018.708333,0.173032,0.184616,0.159796
2018.791667,0.159246,0.162096,0.156242
2018.875000,0.150774,0.155271,0.146571
2018.958333,0.150623,0.165247,0.138537
2019.041667,0.152882,0.171274,0.137773
2019.125000,0.163417,0.202599,0.129658
2019.208333,0.169460,0.225834,0.117992
2019.291667,0.165562,0.224897,0.103084
2019.375000,0.163220,0.216460,0.098018
2019.458333,0.171736,0.222216,0.103037
2019.541667,0.192681,0.249364,0.116238
2019.625000,0.197704,0.234876,0.152650
2019.708333,0.191513,0.208475,0.172243
2019.791667,0.166471,0.176404,0.156208
2019.875000,0.164399,0.167298,0.161667
2019.958333,0.157395,0.164876,0.150997
2020.041667,0.184372,0.188894,0.180639
2020.125000,0.185232,0.223802,0.150881
2020.208333,0.172167,0.222600,0.125306
2020.291667,0.169610,0.228517,0.107621
2020.375000,0.166694,0.216625,0.105567
2020.458333,0.176063,0.228384,0.104942
2020.541667,0.178756,0.224550,0.117484
2020.625000,0.178264,0.204066,0.146886
2020.708333,0.187047,0.197648,0.175053
2020.791667,0.167015,0.166312,0.167761
2020.875000,0.152275,0.159760,0.145059
2020.958333,0.142959,0.151882,0.135368
2021.041667,0.149391,0.172591,0.129814
2021.125000,0.162666,0.202323,0.127449
2021.208333,0.177000,0.246042,0.113016
2021.291667,0.170958,0.235638,0.103287
2021.375000,0.165468,0.216532,0.102690
2021.458333,0.174561,0.227456,0.101907
2021.541667,0.198773,0.261112,0.114779
2021.625000,0.197699,0.243079,0.142791
2021.708333,0.177567,0.184652,0.169401
2021.791667,0.162228,0.167817,0.156296
2021.875000,0.146779,0.153119,0.140711
2021.958333,0.147888,0.162826,0.135205
2022.041667,0.154976,0.165747,0.145970
2022.125000,0.174899,0.202528,0.150927
2022.208333,0.185730,0.243822,0.132445
2022.291667,0.186954,0.252130,0.119369
2022.375000,0.185716,0.244181,0.113741
2022.458333,0.182164,0.231495,0.114861
2022.541667,0.185321,0.227182,0.129293
2022.625000,0.183944,0.205116,0.157982
2022.708333,0.181679,0.179705,0.183892
2022.791667,0.175304,0.167237,0.183721
2022.875000,0.157886,0.161290,0.154710
2022.958333,0.159776,0.167199,0.153702
2023.041667,0.160096,0.174115,0.148602
2023.125000,0.176147,0.211389,0.145589
2023.208333,0.167595,0.217896,0.121214
2023.291667,0.181856,0.252666,0.108237
2023.375000,0.182269,0.241317,0.108558
2023.458333,0.186390,0.243021,0.108120
2023.541667,0.199105,0.252305,0.127289
2023.625000,0.193708,0.230038,0.149023
2023.708333,0.191634,0.200662,0.181476
2023.791667,0.180087,0.177727,0.182567
2023.875000,0.166381,0.165463,0.167243
2023.958333,0.155807,0.167251,0.146181
2024.041667,0.160837,0.179962,0.144944
2024.125000,0.171605,0.211194,0.136896
2024.208333,0.174644,0.235287,0.118129
2024.291667,0.176536,0.243174,0.105341
2024.375000,0.179837,0.235989,0.110196
2024.458333,0.188678,0.242649,0.115056
2024.541667,0.210147,0.267898,0.133653
2024.625000,0.207207,0.232179,0.176931
2024.708333,0.202942,0.188509,0.219353
2024.791667,0.177027,0.169777,0.184646
2024.875000,0.166813,0.167009,0.166629
2024.958333,0.163545,0.176512,0.152638
2025.041667,0.159766,0.180873,0.142126
2025.125000,0.172891,0.210472,0.140184
2025.208333,0.172513,0.226183,0.122458
2025.291667,0.174154,0.237114,0.107030
2025.375000,0.185098,0.249587,0.105893
2025.458333,0.199266,0.263920,0.110967
