year_frac,eei_monthly,eei_12mo
2000.2083,5.9564,
2000.2917,1.9306,
2000.3750,-5.9297,
2000.4583,-10.2302,
2000.5417,-8.7086,
2000.6250,-5.2125,
2000.7083,-0.8999,
2000.7917,1.6594,
2000.8750,4.1521,
2000.9583,6.0059,
2001.0417,9.7788,
2001.1250,8.9705,0.6227
2001.2083,7.5392,0.7546
2001.2917,1.0013,0.6772
2001.3750,-6.1147,0.6618
2001.4583,-9.7254,0.7038
2001.5417,-8.6728,0.7068
2001.6250,-6.0959,0.6332
2001.7083,0.0122,0.7092
2001.7917,1.0953,0.6622
2001.8750,3.5733,0.6140
2001.9583,5.1559,0.5431
2002.0417,7.8197,0.3799
2002.1250,8.0445,0.3027
2002.2083,6.4967,0.2158
2002.2917,0.6994,0.1907
2002.3750,-5.5650,0.2365
2002.4583,-10.1121,0.2043
2002.5417,-10.1670,0.0797
2002.6250,-6.5795,0.0394
2002.7083,-1.1693,-0.0590
2002.7917,2.5889,0.0655
2002.8750,3.5199,0.0610
2002.9583,6.0464,0.1352
2003.0417,7.6157,0.1182
2003.1250,8.8461,0.1850
2003.2083,6.4087,0.1777
2003.2917,1.2901,0.2269
2003.3750,-6.0077,0.1900
2003.4583,-9.4374,0.2462
2003.5417,-8.9138,0.3507
2003.6250,-4.7250,0.5052
2003.7083,-0.5925,0.5533
2003.7917,1.5894,0.4700
2003.8750,3.7480,0.4890
2003.9583,6.0146,0.4864
2004.0417,8.6402,0.5717
2004.1250,9.0947,0.5924
2004.2083,5.5675,0.5223
2004.2917,2.3589,0.6114
2004.3750,-6.4754,0.5724
2004.4583,-10.4877,0.4849
2004.5417,-7.8542,0.5732
2004.6250,-5.1977,0.5338
2004.7083,-0.0360,0.5802
2004.7917,1.3618,0.5612
2004.8750,4.1835,0.5975
2004.9583,7.1870,0.6952
2005.0417,8.0402,0.6452
2005.1250,7.8189,0.5389
2005.2083,6.6128,0.6260
2005.2917,1.1222,0.5230
2005.3750,-4.3150,0.7030
2005.4583,-9.9074,0.7513
2005.5417,-9.8501,0.5850
2005.6250,-5.9425,0.5230
2005.7083,-0.6553,0.4713
2005.7917,1.4922,0.4822
2005.8750,3.5698,0.4311
2005.9583,6.9954,0.4151
2006.0417,8.9780,0.4932
2006.1250,9.1915,0.6076
2006.2083,6.6040,0.6069
2006.2917,2.3983,0.7132
2006.3750,-4.2273,0.7205
2006.4583,-9.2047,0.7791
2006.5417,-9.3288,0.8226
2006.6250,-5.8106,0.8335
2006.7083,-0.4946,0.8469
2006.7917,1.2167,0.8240
2006.8750,4.3383,0.8880
2006.9583,6.0945,0.8129
2007.0417,6.9150,0.6410
2007.1250,8.5527,0.5878
2007.2083,5.8775,0.5273
2007.2917,1.9052,0.4862
2007.3750,-5.6238,0.3698
2007.4583,-8.6986,0.4120
2007.5417,-8.8584,0.4512
2007.6250,-5.7081,0.4597
2007.7083,-1.7603,0.3542
2007.7917,1.6373,0.3893
2007.8750,3.0553,0.2824
2007.9583,5.0574,0.1959
2008.0417,8.5647,0.3334
2008.1250,8.4072,0.3213
2008.2083,7.5593,0.4614
2008.2917,1.7878,0.4517
2008.3750,-4.1591,0.5737
2008.4583,-8.6267,0.5797
2008.5417,-8.0898,0.6438
2008.6250,-3.8708,0.7969
2008.7083,-0.7073,0.8846
2008.7917,2.6577,0.9696
2008.8750,3.5168,1.0081
2008.9583,7.3395,1.1983
2009.0417,8.6768,1.2076
2009.1250,9.2914,1.2813
2009.2083,7.4276,1.2703
2009.2917,1.8908,1.2789
2009.3750,-4.4003,1.2588
2009.4583,-7.5323,1.3500
2009.5417,-8.8260,1.2887
2009.6250,-5.0384,1.1914
2009.7083,-1.3918,1.1343
2009.7917,1.5420,1.0413
2009.8750,2.9303,0.9925
2009.9583,6.2619,0.9027
2010.0417,6.6626,0.7348
2010.1250,8.0752,0.6335
2010.2083,5.6277,0.4835
2010.2917,2.0776,0.4990
2010.3750,-5.9450,0.3703
2010.4583,-9.7272,0.1874
2010.5417,-9.3462,0.1441
2010.6250,-6.0491,0.0598
2010.7083,-0.9473,0.0969
2010.7917,1.5139,0.0945
2010.8750,2.6524,0.0714
2010.9583,5.6601,0.0212
2011.0417,8.5759,0.1807
2011.1250,8.4929,0.2155
2011.2083,6.8598,0.3182
2011.2917,2.3965,0.3447
2011.3750,-4.2689,0.4844
2011.4583,-9.4922,0.5040
2011.5417,-8.9844,0.5341
2011.6250,-5.3825,0.5897
2011.7083,-1.3625,0.5551
2011.7917,3.0945,0.6868
2011.8750,3.9804,0.7975
2011.9583,4.7986,0.7257
2012.0417,8.7405,0.7394
2012.1250,10.6678,0.9206
2012.2083,6.6979,0.9071
2012.2917,2.5745,0.9220
2012.3750,-4.2021,0.9275
2012.4583,-8.7432,0.9900
2012.5417,-8.1951,1.0557
2012.6250,-4.5305,1.1267
2012.7083,-0.6571,1.1855
2012.7917,2.6213,1.1461
2012.8750,4.5652,1.1948
2012.9583,7.0584,1.3831
2013.0417,6.7763,1.2194
2013.1250,8.4792,1.0371
2013.2083,7.3380,1.0904
2013.2917,1.3017,0.9843
2013.3750,-4.8038,0.9342
2013.4583,-9.6013,0.8627
2013.5417,-8.3594,0.8490
2013.6250,-4.9405,0.8148
2013.7083,-0.7887,0.8039
2013.7917,1.5627,0.7157
2013.8750,3.8752,0.6581
2013.9583,6.2020,0.5868
2014.0417,7.8476,0.6761
2014.1250,8.4465,0.6733
2014.2083,7.0506,0.6494
2014.2917,2.4015,0.7410
2014.3750,-4.3016,0.7829
2014.4583,-9.5720,0.7853
2014.5417,-9.3796,0.7003
2014.6250,-4.2114,0.7611
2014.7083,-0.1831,0.8115
2014.7917,2.2261,0.8668
2014.8750,4.0975,0.8853
2014.9583,5.8518,0.8562
2015.0417,7.4084,0.8196
2015.1250,9.2112,0.8833
2015.2083,7.0971,0.8872
2015.2917,2.3154,0.8800
2015.3750,-4.2973,0.8803
2015.4583,-8.8988,0.9364
2015.5417,-8.0542,1.0469
