Year,Berkeley Earth (degC),Berkeley Earth uncertainty
1850,-0.11,0.396
1851,-0.09,0.349
1852,-0.05,0.389
1853,-0.02,0.320
1854,-0.02,0.386
1855,0.04,0.343
1856,-0.13,0.399
1857,-0.20,0.328
1858,-0.11,0.374
1859,-0.04,0.413
1860,0.02,0.381
1861,-0.02,0.372
1862,-0.18,0.377
1863,-0.14,0.407
1864,-0.12,0.383
1865,0.17,0.496
1866,0.01,0.504
1867,-0.08,0.513
1868,0.15,0.420
1869,0.04,0.394
1870,-0.01,0.304
1871,0.05,0.408
1872,0.02,0.365
1873,0.00,0.293
1874,-0.13,0.292
1875,0.03,0.344
1876,-0.04,0.322
1877,0.24,0.299
1878,0.32,0.337
1879,0.03,0.284
1880,0.02,0.268
1881,0.09,0.267
1882,0.02,0.248
1883,-0.04,0.259
1884,-0.14,0.271
1885,-0.13,0.277
1886,-0.14,0.269
1887,-0.20,0.270
1888,-0.01,0.239
1889,0.11,0.268
1890,-0.16,0.270
1891,-0.05,0.262
1892,-0.16,0.282
1893,-0.12,0.218
1894,-0.11,0.222
1895,-0.03,0.239
1896,0.11,0.230
1897,0.13,0.214
1898,-0.06,0.232
1899,0.07,0.214
1900,0.16,0.204
1901,0.08,0.219
1902,-0.06,0.238
1903,-0.18,0.214
1904,-0.23,0.205
1905,-0.09,0.208
1906,0.03,0.197
1907,-0.17,0.210
1908,-0.21,0.183
1909,-0.23,0.209
1910,-0.19,0.183
1911,-0.20,0.186
1912,-0.10,0.172
1913,-0.11,0.182
1914,0.05,0.181
1915,0.13,0.203
1916,-0.10,0.197
1917,-0.24,0.197
1918,-0.10,0.242
1919,-0.05,0.250
1920,0.04,0.201
1921,0.08,0.179
1922,-0.01,0.188
1923,0.05,0.177
1924,0.03,0.175
1925,0.07,0.170
1926,0.19,0.177
1927,0.12,0.173
1928,0.11,0.171
1929,-0.05,0.181
1930,0.19,0.162
1931,0.21,0.183
1932,0.16,0.175
1933,0.04,0.175
1934,0.18,0.156
1935,0.14,0.143
1936,0.19,0.130
1937,0.33,0.163
1938,0.31,0.160
1939,0.32,0.174
1940,0.43,0.180
1941,0.32,0.197
1942,0.25,0.184
1943,0.29,0.205
1944,0.40,0.212
1945,0.31,0.244
1946,0.18,0.179
1947,0.25,0.179
1948,0.17,0.191
1949,0.15,0.164
1950,0.07,0.143
1951,0.24,0.159
1952,0.33,0.143
1953,0.40,0.152
1954,0.19,0.129
1955,0.12,0.136
1956,0.05,0.109
1957,0.28,0.098
1958,0.30,0.079
1959,0.27,0.081
1960,0.21,0.087
1961,0.30,0.074
1962,0.24,0.092
1963,0.30,0.086
1964,0.03,0.086
1965,0.13,0.075
1966,0.19,0.074
1967,0.20,0.060
1968,0.15,0.069
1969,0.29,0.060
1970,0.24,0.069
1971,0.13,0.071
1972,0.25,0.067
1973,0.39,0.072
1974,0.15,0.075
1975,0.22,0.070
1976,0.14,0.075
1977,0.45,0.059
1978,0.34,0.068
1979,0.41,0.059
1980,0.55,0.059
1981,0.59,0.057
1982,0.38,0.056
1983,0.56,0.066
1984,0.39,0.057
1985,0.37,0.059
1986,0.47,0.054
1987,0.58,0.053
1988,0.62,0.055
1989,0.50,0.057
1990,0.70,0.057
1991,0.69,0.052
1992,0.49,0.054
1993,0.52,0.061
1994,0.58,0.062
1995,0.75,0.055
1996,0.63,0.053
1997,0.76,0.057
1998,0.91,0.061
1999,0.67,0.058
2000,0.66,0.062
2001,0.81,0.054
2002,0.90,0.054
2003,0.88,0.054
2004,0.80,0.063
2005,0.97,0.054
2006,0.92,0.052
2007,0.91,0.050
2008,0.79,0.052
2009,0.92,0.051
2010,1.00,0.048
2011,0.87,0.051
2012,0.90,0.055
2013,0.92,0.055
2014,0.98,0.065
2015,1.15,0.063
2016,1.28,0.064
2017,1.18,0.053
2018,1.10,0.058
2019,1.22,0.054
2020,1.26,0.062
2021,1.11,0.064
2022,1.16,0.056
2023,1.46,0.063
2024,1.54,0.063
2025,1.44,0.067
