Year,ERA5 (degC),ERA5 uncertainty
1940,0.20,
1941,0.24,
1942,0.15,
1943,0.16,
1944,0.35,
1945,0.21,
1946,0.21,
1947,0.26,
1948,0.20,
1949,0.23,
1950,0.12,
1951,0.25,
1952,0.23,
1953,0.31,
1954,0.11,
1955,0.09,
1956,0.04,
1957,0.28,
1958,0.35,
1959,0.32,
1960,0.27,
1961,0.35,
1962,0.29,
1963,0.32,
1964,0.11,
1965,0.17,
1966,0.25,
1967,0.26,
1968,0.20,
1969,0.33,
1970,0.31,
1971,0.15,
1972,0.29,
1973,0.39,
1974,0.12,
1975,0.14,
1976,0.07,
1977,0.36,
1978,0.30,
1979,0.45,
1980,0.59,
1981,0.62,
1982,0.42,
1983,0.61,
1984,0.40,
1985,0.36,
1986,0.45,
1987,0.61,
1988,0.64,
1989,0.52,
1990,0.75,
1991,0.70,
1992,0.46,
1993,0.51,
1994,0.55,
1995,0.72,
1996,0.59,
1997,0.72,
1998,0.90,
1999,0.64,
2000,0.63,
2001,0.79,
2002,0.89,
2003,0.87,
2004,0.81,
2005,0.98,
2006,0.93,
2007,0.92,
2008,0.79,
2009,0.92,
2010,1.01,
2011,0.87,
2012,0.92,
2013,0.95,
2014,0.99,
2015,1.14,
2016,1.32,
2017,1.23,
2018,1.15,
2019,1.28,
2020,1.32,
2021,1.16,
2022,1.18,
2023,1.48,
2024,1.60,
2025,1.47,
