year_frac,ohc700,ohc700_se,ohc2000,ohc2000_se
1957.5000,-62.8869,18.4269,-93.0258,20.2520
1958.5000,-48.9276,18.3688,-80.5882,20.1694
1959.5000,-57.8406,18.3623,-87.1301,20.3561
1960.5000,-33.8743,17.1795,-54.7856,18.9347
1961.5000,-27.0760,15.8073,-47.6191,17.7251
1962.5000,-26.0374,15.0455,-41.2133,17.2758
1963.5000,-39.9773,15.4063,-56.9650,18.1477
1964.5000,-46.6571,14.3622,-65.2064,17.3278
1965.5000,-53.7445,13.8847,-72.1768,17.4067
1966.5000,-71.5882,12.9096,-91.2184,16.6363
1967.5000,-72.9725,12.3368,-90.5889,16.1940
1968.5000,-68.8366,10.8622,-89.9055,14.6805
1969.5000,-54.1285,9.7945,-76.1967,13.7474
1970.5000,-46.1841,9.1387,-68.3786,13.1157
1971.5000,-36.0139,8.8283,-56.2694,13.1550
1972.5000,-32.2165,8.6492,-47.7000,13.7379
1973.5000,-31.2877,8.6764,-40.8666,13.1799
1974.5000,-24.3901,8.8462,-33.5400,13.1357
1975.5000,-14.5708,8.8718,-13.9800,13.2401
1976.5000,-9.7768,8.8870,-14.4532,13.5188
1977.5000,-1.8280,8.2096,-11.4289,12.3350
1978.5000,9.7510,7.6158,0.5555,11.8187
1979.5000,15.7988,7.6787,0.6845,11.7753
1980.5000,11.1396,7.3868,-11.7602,11.6350
1981.5000,5.2301,7.3773,-13.8345,11.1014
1982.5000,4.8644,6.7943,-10.7321,10.8616
1983.5000,2.1926,6.7961,-9.7426,11.2822
1984.5000,4.8955,5.9554,-2.0956,10.3238
1985.5000,6.4808,5.2531,4.8062,9.3008
1986.5000,10.6575,5.1135,7.1809,9.4625
1987.5000,9.8001,4.8440,10.2285,8.9002
1988.5000,7.6034,4.9169,8.4409,9.1225
1989.5000,8.0339,4.8223,4.1232,8.6798
1990.5000,15.6556,4.6751,5.1738,8.0893
1991.5000,27.1152,3.9178,30.3607,6.9337
1992.5000,37.0190,3.5199,38.9917,6.5199
1993.5000,38.7586,2.8976,38.4020,5.4949
1994.5000,32.1762,2.7664,34.0948,5.4180
1995.5000,37.7948,2.7446,45.4279,5.6220
1996.5000,41.7418,2.9157,50.3329,6.4967
1997.5000,42.5132,3.0372,49.9579,7.3571
1998.5000,45.1331,3.4892,62.3268,8.6077
1999.5000,45.5865,4.0939,62.3417,8.6356
2000.5000,56.2895,4.2807,72.8573,8.2216
2001.5000,61.8242,3.6717,82.8423,6.0654
2002.5000,71.7253,2.8245,94.8059,4.3987
2003.5000,80.1180,2.1765,101.7316,3.2089
2004.5000,91.2704,1.9497,118.0552,2.8227
2005.5000,91.0456,1.7964,119.9559,2.6913
2006.5000,93.1405,1.7179,124.2301,2.5752
2007.5000,94.5112,1.6892,126.6387,2.5176
2008.5000,102.2683,1.6149,141.0169,2.6292
2009.5000,104.4346,1.6210,145.8692,2.5624
2010.5000,106.4162,1.5741,152.2867,2.4767
2011.5000,114.9389,1.4169,166.8100,2.3337
2012.5000,118.7806,1.4209,175.6289,2.1609
2013.5000,129.1662,1.3689,190.0445,1.9830
2014.5000,133.9639,1.3467,200.0065,1.9406
2015.5000,141.4268,1.3176,210.7351,1.8974
2016.5000,148.0001,1.3035,218.7923,1.8371
2017.5000,149.0313,1.4138,221.4695,1.9041
2018.5000,157.4079,1.3732,232.9353,2.1065
2019.5000,167.5779,1.3444,244.4249,1.7900
2020.5000,173.0157,1.4044,251.8606,1.8261
2021.5000,186.3203,1.4439,270.2148,1.8521
2022.5000,193.4446,1.4813,279.3857,1.8617
2023.5000,205.7741,1.5114,294.8008,1.8714
