year_frac,volume
1979.0417,27.704
1979.1250,30.171
1979.2083,32.045
1979.2917,32.951
1979.3750,32.295
1979.4583,29.787
1979.5417,23.661
1979.6250,18.409
1979.7083,16.911
1979.7917,17.854
1979.8750,20.124
1979.9583,23.201
1980.0417,26.530
1980.1250,29.154
1980.2083,31.128
1980.2917,32.235
1980.3750,31.807
1980.4583,29.152
1980.5417,22.865
1980.6250,17.790
1980.7083,16.316
1980.7917,17.325
1980.8750,19.424
1980.9583,22.451
1981.0417,25.317
1981.1250,27.770
1981.2083,29.818
1981.2917,30.744
1981.3750,30.034
1981.4583,26.817
1981.5417,20.173
1981.6250,14.635
1981.7083,12.808
1981.7917,13.965
1981.8750,16.145
1981.9583,19.115
1982.0417,22.633
1982.1250,25.486
1982.2083,27.653
1982.2917,28.968
1982.3750,28.302
1982.4583,25.616
1982.5417,19.665
1982.6250,14.834
1982.7083,13.508
1982.7917,14.911
1982.8750,17.766
1982.9583,21.066
1983.0417,24.457
1983.1250,27.279
1983.2083,29.385
1983.2917,30.386
1983.3750,30.170
1983.4583,27.758
1983.5417,21.854
1983.6250,16.738
1983.7083,15.200
1983.7917,16.427
1983.8750,18.954
1983.9583,21.962
1984.0417,24.733
1984.1250,27.209
1984.2083,29.151
1984.2917,30.330
1984.3750,29.816
1984.4583,27.093
1984.5417,20.941
1984.6250,16.148
1984.7083,14.635
1984.7917,15.664
1984.8750,18.097
1984.9583,21.292
1985.0417,24.639
1985.1250,27.264
1985.2083,29.453
1985.2917,30.864
1985.3750,30.517
1985.4583,27.488
1985.5417,20.768
1985.6250,16.012
1985.7083,14.583
1985.7917,15.838
1985.8750,18.289
1985.9583,21.285
1986.0417,24.678
1986.1250,27.518
1986.2083,29.770
1986.2917,30.934
1986.3750,30.456
1986.4583,27.861
1986.5417,21.953
1986.6250,17.293
1986.7083,16.076
1986.7917,17.378
1986.8750,19.857
1986.9583,22.738
1987.0417,26.025
1987.1250,28.840
1987.2083,30.663
1987.2917,31.790
1987.3750,31.502
1987.4583,28.814
1987.5417,22.274
1987.6250,16.708
1987.7083,15.353
1987.7917,16.703
1987.8750,19.255
1987.9583,22.299
1988.0417,25.471
1988.1250,28.132
1988.2083,30.283
1988.2917,31.200
1988.3750,30.213
1988.4583,27.230
1988.5417,21.098
1988.6250,16.328
1988.7083,14.987
1988.7917,16.246
1988.8750,18.925
1988.9583,22.125
1989.0417,25.363
1989.1250,27.837
1989.2083,29.424
1989.2917,30.112
1989.3750,29.621
1989.4583,27.122
1989.5417,21.075
1989.6250,16.198
1989.7083,14.770
1989.7917,15.941
1989.8750,18.654
1989.9583,21.797
1990.0417,24.967
1990.1250,27.632
1990.2083,29.393
1990.2917,29.907
1990.3750,28.905
1990.4583,25.494
1990.5417,19.515
1990.6250,14.885
1990.7083,13.815
1990.7917,15.218
1990.8750,18.258
1990.9583,21.522
1991.0417,24.689
1991.1250,27.477
1991.2083,29.665
1991.2917,30.742
1991.3750,30.005
1991.4583,26.792
1991.5417,20.014
1991.6250,15.005
1991.7083,13.593
1991.7917,15.017
1991.8750,17.688
1991.9583,20.894
1992.0417,24.183
1992.1250,26.906
1992.2083,28.680
1992.2917,29.642
1992.3750,29.259
1992.4583,26.849
1992.5417,20.899
