year_frac,tsi,tsi_unc
1874.3750,1361.6241,0.1143
1874.4583,1361.6373,0.1125
1874.5417,1361.5775,0.1464
1874.6250,1361.7277,0.1402
1874.7083,1361.7626,0.1107
1874.7917,1361.5026,0.1112
1874.8750,1361.4076,0.1047
1874.9583,1361.5614,0.1009
1875.0417,1361.4756,0.0971
1875.1250,1361.3057,0.1008
1875.2083,1361.4615,0.1034
1875.2917,1361.4684,0.1050
1875.3750,1361.4165,0.0967
1875.4583,1361.2393,0.1025
1875.5417,1361.3600,0.0927
1875.6250,1361.3481,0.0932
1875.7083,1361.2649,0.0890
1875.7917,1361.2461,0.0913
1875.8750,1361.3066,0.0953
1875.9583,1361.3313,0.0929
1876.0417,1361.3245,0.0948
1876.1250,1361.2599,0.0964
1876.2083,1361.4165,0.1011
1876.2917,1361.3651,0.0931
1876.3750,1361.2657,0.0908
1876.4583,1361.2024,0.0884
1876.5417,1361.2844,0.0922
1876.6250,1361.3085,0.0924
1876.7083,1361.2722,0.0931
1876.7917,1361.3167,0.0953
1876.8750,1361.3245,0.0938
1876.9583,1361.2363,0.0938
1877.0417,1361.3514,0.0990
1877.1250,1361.3774,0.0961
1877.2083,1361.3575,0.0963
1877.2917,1361.3259,0.0962
1877.3750,1361.3927,0.0982
1877.4583,1361.3829,0.0977
1877.5417,1361.3278,0.0946
1877.6250,1361.2410,0.0927
1877.7083,1361.2937,0.0955
1877.7917,1361.2314,0.0948
1877.8750,1361.2092,0.0993
1877.9583,1361.2408,0.0932
1878.0417,1361.1820,0.0920
1878.1250,1361.1968,0.0927
1878.2083,1361.2250,0.0943
1878.2917,1361.1898,0.0923
1878.3750,1361.1667,0.0932
1878.4583,1361.2172,0.0942
1878.5417,1361.1783,0.0926
1878.6250,1361.1501,0.0921
1878.7083,1361.1506,0.0933
1878.7917,1361.1654,0.0927
1878.8750,1361.1786,0.0932
1878.9583,1361.1586,0.0921
1879.0417,1361.1490,0.0918
1879.1250,1361.1500,0.0917
1879.2083,1361.1417,0.0913
1879.2917,1361.1709,0.0932
1879.3750,1361.1934,0.0926
1879.4583,1361.2126,0.0933
1879.5417,1361.2281,0.0944
1879.6250,1361.2680,0.0951
1879.7083,1361.2614,0.0945
1879.7917,1361.2943,0.0962
1879.8750,1361.3147,0.0975
1879.9583,1361.3064,0.0960
1880.0417,1361.3472,0.1018
