year,tsi,tsi_unc
1610,1361.3345,0.1046
1611,1361.4644,0.1184
1612,1361.8406,0.2054
1613,1361.8181,0.1986
1614,1361.9281,0.2332
1615,1362.0387,0.2718
1616,1361.3019,0.1028
1617,1361.0956,0.1070
1618,1361.0848,0.1079
1619,1361.2380,0.1013
1620,1361.2380,0.1013
1621,1361.2380,0.1013
1622,1361.2380,0.1013
1623,1361.2380,0.1013
1624,1361.1780,0.1022
1625,1361.5708,0.1367
1626,1361.3805,0.1083
1627,1361.2572,0.1014
1628,1361.3369,0.1047
1629,1361.2825,0.1020
1630,1361.2008,0.1016
1631,1361.1194,0.1052
1632,1361.0706,0.1091
1633,1361.4193,0.1124
1634,1361.1804,0.1021
1635,1361.2344,0.1013
1636,1361.4518,0.1166
1637,1361.6721,0.1592
1638,1361.8955,0.2226
1639,1361.9946,0.2560
1640,1361.2380,0.1013
1641,1361.4358,0.1144
1642,1361.6360,0.1507
1643,1361.2814,0.1020
1644,1361.2091,0.1014
1645,1361.0706,0.1091
1646,1361.0706,0.1091
1647,1361.0706,0.1091
1648,1361.0706,0.1091
1649,1361.0706,0.1091
1650,1361.0706,0.1091
1651,1361.0706,0.1091
1652,1361.1183,0.1053
1653,1361.0801,0.1083
1654,1361.0789,0.1084
1655,1361.0765,0.1086
1656,1361.0706,0.1091
1657,1361.0718,0.1090
1658,1361.0706,0.1091
1659,1361.0706,0.1091
1660,1361.0956,0.1070
1661,1361.0813,0.1082
1662,1361.0706,0.1091
1663,1361.0706,0.1091
1664,1361.0706,0.1091
1665,1361.0706,0.1091
1666,1361.0706,0.1091
1667,1361.0706,0.1091
1668,1361.0706,0.1091
1669,1361.0706,0.1091
1670,1361.0706,0.1091
1671,1361.0813,0.1082
1672,1361.0753,0.1087
1673,1361.0706,0.1091
1674,1361.0730,0.1089
1675,1361.0706,0.1091
1676,1361.0979,0.1068
1677,1361.0753,0.1087
1678,1361.0730,0.1089
1679,1361.0706,0.1091
1680,1361.0801,0.1083
1681,1361.0706,0.1091
1682,1361.0706,0.1091
1683,1361.0706,0.1091
1684,1361.0908,0.1074
1685,1361.0706,0.1091
1686,1361.0778,0.1085
1687,1361.0706,0.1091
1688,1361.0778,0.1085
1689,1361.0789,0.1084
1690,1361.0706,0.1091
1691,1361.0706,0.1091
1692,1361.0706,0.1091
1693,1361.0706,0.1091
1694,1361.0706,0.1091
1695,1361.0718,0.1090
1696,1361.0706,0.1091
1697,1361.0706,0.1091
1698,1361.0706,0.1091
1699,1361.0706,0.1091
1700,1361.1069,0.1006
1701,1361.1540,0.1023
1702,1361.1970,0.1052
1703,1361.2588,0.1114
1704,1361.3411,0.1230
1705,1361.4791,0.1503
1706,1361.3585,0.1264
1707,1361.2732,0.1140
1708,1361.2104,0.1076
1709,1361.1665,0.1046
1710,1361.1266,0.1031
1711,1361.0865,0.1026
1712,1361.0752,0.1028
1713,1361.0894,0.1012
1714,1361.1430,0.0955
1715,1361.2695,0.0983
1716,1361.3880,0.1099
1717,1361.5314,0.1358
1718,1361.5006,0.1217
1719,1361.4929,0.1134
1720,1361.4027,0.0857
1721,1361.3749,0.0733
1722,1361.3096,0.0542
1723,1361.2042,0.0365
1724,1361.2937,0.0457
1725,1361.3829,0.0656
1726,1361.6003,0.1249
1727,1361.8019,0.1932
1728,1361.8701,0.2206
1729,1361.6891,0.1586
1730,1361.6614,0.1520
1731,1361.3933,0.0825
1732,1361.2900,0.0664
1733,1361.1714,0.0588
1734,1361.1746,0.0608
1735,1361.3586,0.0836
1736,1361.6569,0.1605
1737,1361.6804,0.1688
1738,1361.7618,0.1968
1739,1361.8217,0.2191
1740,1361.5703,0.1382
1741,1361.6198,0.1534
1742,1361.3910,0.0964
1743,1361.2543,0.0755
1744,1361.1473,0.0695
1745,1361.1560,0.0687
1746,1361.2222,0.0705
1747,1361.3198,0.0809
1748,1361.6816,0.1695
1749,1361.7252,0.1824
1750,1361.7643,0.1943
1751,1361.6014,0.1406
1752,1361.5243,0.1175
1753,1361.4105,0.0881
1754,1361.2609,0.0600
1755,1361.1821,0.0524
1756,1361.1743,0.0505
1757,1361.3608,0.0704
1758,1361.5208,0.1065
1759,1361.5820,0.1220
1760,1361.6300,0.1345
1761,1361.7830,0.1832
1762,1361.6494,0.1370
1763,1361.5223,0.0979
1764,1361.4568,0.0787
1765,1361.3004,0.0418
1766,1361.2056,0.0302
1767,1361.4497,0.0735
1768,1361.7518,0.1646
1769,1361.9630,0.2444
1770,1361.9636,0.2452
1771,1361.8934,0.2178
1772,1361.7738,0.1742
1773,1361.5239,0.0964
1774,1361.4438,0.0756
1775,1361.2073,0.0348
1776,1361.2840,0.0411
1777,1361.7047,0.1500
1778,1362.0667,0.2882
1779,1362.0447,0.2774
1780,1361.8741,0.2066
1781,1361.8079,0.1810
1782,1361.5327,0.0919
1783,1361.4032,0.0563
1784,1361.2361,0.0240
1785,1361.3041,0.0346
1786,1361.7060,0.1467
1787,1361.9920,0.2559
1788,1362.0531,0.2854
1789,1361.9833,0.2585
1790,1361.8566,0.2111
1791,1361.7019,0.1595
1792,1361.6683,0.1517
1793,1361.5891,0.1308
1794,1361.5127,0.1130
1795,1361.3100,0.0729
1796,1361.2570,0.0697
1797,1361.1693,0.0672
1798,1361.1362,0.0705
1799,1361.1515,0.0738
1800,1361.2435,0.0827
1801,1361.5137,0.1358
1802,1361.5215,0.1404
1803,1361.4622,0.1289
1804,1361.4927,0.1388
1805,1361.4557,0.1330
1806,1361.3790,0.1203
1807,1361.2126,0.1005
1808,1361.1696,0.1004
1809,1361.1243,0.1014
1810,1361.0782,0.1035
1811,1361.0856,0.1050
1812,1361.1343,0.1047
1813,1361.2103,0.1078
1814,1361.2375,0.1088
1815,1361.3666,0.1254
1816,1361.5027,0.1523
1817,1361.4808,0.1456
1818,1361.4242,0.1317
1819,1361.3680,0.1194
1820,1361.2550,0.1013
1821,1361.1677,0.0925
1822,1361.1471,0.0900
1823,1361.1040,0.0877
1824,1361.1553,0.0843
1825,1361.2706,0.0881
1826,1361.4430,0.1131
1827,1361.5812,0.1432
1828,1361.6705,0.1654
1829,1361.7484,0.1864
1830,1361.7767,0.1919
1831,1361.6041,0.1314
1832,1361.4172,0.0770
1833,1361.2142,0.0385
1834,1361.2225,0.0354
1835,1361.5315,0.0979
1836,1361.9547,0.2410
1837,1362.1494,0.3250
1838,1361.9468,0.2349
1839,1361.8620,0.2005
1840,1361.6984,0.1419
1841,1361.5009,0.0813
1842,1361.3807,0.0488
1843,1361.2444,0.0222
1844,1361.2462,0.0233
1845,1361.4286,0.0627
1846,1361.6106,0.1158
1847,1361.8102,0.1841
1848,1362.0016,0.2614
1849,1361.9476,0.2417
1850,1361.7836,0.1820
1851,1361.7212,0.1630
1852,1361.6761,0.1508
1853,1361.5374,0.1122
1854,1361.3630,0.0732
1855,1361.1906,0.0543
1856,1361.1550,0.0566
1857,1361.3140,0.0693
1858,1361.6183,0.1405
1859,1361.8894,0.2321
1860,1361.9712,0.2633
1861,1361.8658,0.2192
1862,1361.7765,0.1845
1863,1361.6113,0.1287
1864,1361.5540,0.1101
1865,1361.4368,0.0770
