City,Station,NBM_High,GEFS_TMAX_Mean,NDFD_Tmax,ECMWF_Tmax,ECMWF_OM_Tmax,HRRR_Tmax,UKMO_Tmax_Mean,UKMO_Det_Tmax,NBM_Low,GEFS_TMIN_Mean,NDFD_Tmin,ECMWF_Tmin,ECMWF_OM_Tmin,HRRR_Tmin,UKMO_Tmin_Mean,UKMO_Det_Tmin
Albuquerque,KABQ,1.4142135623730951,4.416189225194869,1.4459976109624424,3.148737120584293,2.9146963041549525,1.596302545942283,4.028985886389685,2.5993006052328074,3.0472470011002204,1.9809809979617974,3.0472470011002204,2.5565043097390396,2.646426161556645,2.093698027073491,5.973871680672664,4.921164206044859
Anchorage,PANC,2.939873661036668,4.087437199168063,3.6742346141747673,3.6656708604487185,2.565986304383893,,3.0169757800060073,1.8879315968238153,2.23606797749979,2.387018463032313,2.5071326821120348,3.5012242756743563,3.3939020947239227,,1.986561997881912,2.3629581944189004
Atlanta,KATL,2.7902892835178013,2.3903078104234674,2.1712405933672376,2.6722114971899735,3.337770855782984,3.572414149723246,2.466200084571983,2.912411862553587,1.7525491637693282,2.0290743843296757,1.7525491637693282,2.4225134527121654,2.2198777315107114,2.076569974054053,1.8312759018158429,2.7675414566516814
Austin,KAUS,2.29906813420444,1.8852813355798412,1.889822365046136,2.13692034746936,2.6722114971899735,2.635201266371455,1.822870577648656,1.7774379635547648,2.449489742783178,4.503966505838412,2.3603873774083293,3.272067935026498,3.498877370978133,4.007225616665119,2.4545875417267156,4.76092728062807
Baltimore,KBWI,2.052872551885702,4.423557069017775,2.23606797749979,3.248186307112676,3.15051016276956,3.0588279734938646,2.2819164877669937,3.049941451428678,2.32992949004287,3.1457454260817554,2.5213375135318272,2.7260646675067286,2.0817231873069546,1.5750283444161528,4.987770758851807,5.472985604637695
Boston,KBOS,3.973123995763823,2.671142077838617,2.8535691936340255,3.033856574442127,2.726326675741032,1.7324631515355737,2.7561619276502207,1.7273017769259162,1.1952286093343936,2.0667434701550573,1.8322507626258087,4.2960114391973265,1.9786358937409385,3.9328288619189697,2.179777183894852,2.3088339666841122
Charlotte,KCLT,2.345207879911715,5.1324597277662924,2.187627547301936,2.5431982114764757,3.488347951189994,2.394786002965609,2.078976396485266,3.2942590755954293,1.8708286933869707,1.9779137638286597,1.6903085094570331,1.694739760890402,1.6375068156891963,1.4132030488018539,3.0819752478842903,3.3313446448629653
Chicago,KMDW,2.659215781283755,2.149252361702951,1.8708286933869707,4.0718546143004675,3.2203593410851354,3.3005410811822093,3.4240744317677603,2.9599710423293963,1.0,1.5397124035722656,1.4880476182856899,2.461851800111918,1.3567292602852952,1.6711843533426054,2.3225601637601803,2.6860752037126576
Chicago O'Hare,KORD,2.7516228977511745,2.5769583399260227,2.23606797749979,3.8061041198880208,2.996545630269247,3.64858093745265,2.769476484825246,3.599404712687125,1.0690449676496976,1.3312185609969742,1.4142135623730951,2.478334694334659,1.3166515972615631,2.0243164631196238,2.4194155138320985,2.984962311319861
Cincinnati,KCVG,4.3094580368566735,5.998928475748218,4.728334046695819,5.0475595234585535,4.558038425212569,4.876840311981869,5.952190473142762,6.083936695453503,2.6726124191242437,3.0357394956936417,2.6186146828319083,2.5924340465505167,2.1810875399999095,2.036102719833724,4.482186966202995,4.582809493874129
Cleveland,KCLE,2.8908723349782948,3.139494954834067,3.779644730092272,2.553568931067711,2.4259018941416417,3.550050301454495,3.2378343732457058,4.06693988153255,2.6049403612586386,4.3533238532675895,2.712405363721075,4.794639864324686,2.712405363721075,2.7410894601547438,4.681574826609403,6.311157919567081
Colorado Springs,KCOS,1.2060453783110545,3.921734310225518,1.4459976109624424,6.530209519122368,4.1530930423218075,1.8841443681416772,2.1458204618619545,2.4780857714996647,1.8516401995451028,5.462796248913452,1.889822365046136,2.6076809620810604,2.290196498119759,2.9115533409406837,3.726545700396394,3.7769034936042516
Columbus,KCMH,3.2293298729878046,4.080003501399058,3.484660262185848,4.929430566940336,3.0532184424215147,3.437711032483261,4.0392715043327145,2.9012312657116586,2.2834810518779687,1.859915512674088,2.4053511772118195,2.7498051879048773,1.2053452380364487,1.7468338705866033,3.15753068076939,3.033150177620622
Dallas,KDFW,1.224744871391589,2.521620793967925,1.1952286093343936,0.8864052604279195,0.8097618697581929,0.9706404365896044,0.7615773105863897,0.9165151389911672,1.439245834257849,4.323028039299701,1.3887301496588271,2.714379697621013,2.168113070325043,1.3220654835737695,2.921594476602508,3.5115116809878755
Denver,KDEN,2.3204774044612857,2.6204814589924275,2.6311740579210876,8.667312599203266,3.793415347678132,1.6105421925072778,2.43752712016471,2.7509438939557276,3.5191782257531923,3.231813018201299,3.5518142709585216,3.596900375002387,5.5242820626478055,4.019280456078596,6.156547484026816,3.5259477722036237
Detroit,KDTW,2.5213375135318272,4.018261884375952,3.2071349029490928,3.439995847173571,3.1753514991032317,2.4659104374884095,3.127641740535966,2.8103126414790824,1.439245834257849,3.231209415329543,1.4142135623730951,2.858071277727593,1.3838352503098033,1.332827284920507,3.627769877722992,3.599900792283825
El Paso,KELP,1.2535663410560174,2.7370474185568234,1.6903085094570331,2.234310376188334,2.051654384706575,1.2053452380364487,1.6420805617960925,1.8203217925881734,2.903200204700225,5.747173218200405,3.058944729337694,3.5363419356326804,2.9014774561542667,2.453277690880393,2.9233053699048064,3.444664611499104
Fresno,KFAT,1.3627702877384937,3.1537958988223327,0.9636241116594315,4.098083175618292,2.347338918861099,1.8556862419524005,2.0429320665581208,0.9687989618963411,1.3363062095621219,3.3504797097899712,1.8126539343499315,3.834896161753089,4.404056571584236,3.5960295565287805,2.5114025677184557,5.338739819202923
Honolulu,PHNL,1.6903085094570331,7.8119871260226015,,5.266267314575992,5.1980078601600574,,4.895333054480127,3.6106983891129487,1.5811388300841898,1.139235332517887,,1.4592072211600784,3.879525007744411,,2.2510315095846285,1.6884058415304921
Houston,KIAH,1.164964745021435,3.0115254796009463,1.2535663410560174,3.0013092381254474,3.9262850489634964,0.7497618669570082,1.683957922786161,1.1753418955472381,2.29906813420444,4.675697045055727,3.116774889895918,2.336817127144161,1.893220989289342,1.8308858121529197,2.261320726604571,3.2713038029856802
Houston Hobby,KHOU,1.5811388300841898,3.9039357430309067,1.558387444947959,2.3895606290697033,2.149584677493371,1.6199647262473709,1.4942747882692597,1.6401219466856718,1.4142135623730951,3.0564919200192318,1.7113069358158484,1.7171404801504828,1.137352816223455,1.944405895309488,3.4646170681002304,3.7561378340752407
Indianapolis,KIND,4.5591352563522705,4.718883039751793,4.613644360558612,5.5690471100795795,5.465345368775884,3.7961446607992024,5.456647322303321,5.1288400248009305,3.0237157840738176,2.995472774514424,3.401680257083045,3.000238085790621,2.0868636754709193,2.0331186459652146,4.201020284237083,4.304067843331469
Jacksonville,KJAX,1.5118578920369088,6.0647694574013755,1.535298947157477,1.5259657363687513,3.2106964086583187,3.5,1.916656314671836,2.4361855430159673,2.104417123236605,4.307966043107979,2.7645717829090897,1.7349351572897473,2.234630042886614,1.57344027078065,4.187054880393685,3.6927535216188705
Kansas City,KMCI,3.7511902872859664,9.255924743489592,4.713203338949606,6.155485358604958,2.782984010015149,7.169528775110873,2.50841441096619,3.767625246756903,1.558387444947959,2.3103803026465477,2.0,3.2281131153840144,2.137087470634475,1.361459301107245,1.31990259380867,2.0115736554818398
Las Vegas,KLAS,2.9760952365713798,5.3785287420047725,3.4226138716316967,3.658258758324394,4.719412796403502,3.2601489887076385,2.9320884804423715,2.210526763336869,4.088310863215481,5.988441247221899,4.3177375027735465,5.799568949499608,4.131153419013699,6.40072540531819,9.569445423549146,5.693166329657239
Long Beach,KLGB,3.946064947695181,9.570826207058316,3.011881234615431,8.697043832738308,9.018512706015967,1.3301449974667097,2.1692658402589315,3.139039889611381,1.647508942095828,1.8470052981593115,1.3627702877384937,1.5641063171755845,0.8544003745317541,3.161712917301091,1.3282641733803209,1.5168105635557405
Los Angeles,KLAX,1.7320508075688772,3.467090175595998,1.535298947157477,4.110613440490709,11.158084833109005,1.7010500958441603,11.424566262476413,1.937597923792681,1.3887301496588271,2.3659791087110524,1.5118578920369088,1.412191812143702,1.3828025372926014,3.850973902793941,3.6571847095819496,0.8964214570007963
Los Angeles Burbank,KBUR,2.878491668515698,3.4864021569520625,2.9277002188455996,2.659215781283756,4.4258171158394175,1.7447881574236197,3.317270823174635,2.2227717574493076,2.017778127403648,3.4126864156304446,1.9456912102680337,4.3131029599184325,7.150924016217364,3.6711228332954025,4.931458781566133,3.35899644877114
Louisville,KSDF,2.878491668515698,4.105571127835236,2.9760952365713798,1.992844341996778,3.3106969486369913,2.8416544476765635,3.504079255463754,4.592073916776911,2.5213375135318272,3.5152727998183675,3.2071349029490928,2.219716841658605,1.4486446867922536,1.5215124054702946,3.8093869023018088,5.0681780327281905
Memphis,KMEM,2.3145502494313788,3.549245392635293,2.6859422395661667,2.283011795226395,2.722262714308502,1.4711511527663343,1.8871747591117705,3.0350335371176023,0.8864052604279183,1.987101262787437,1.0,2.0813800366926887,0.8811518435709981,1.379440880522664,2.300000000000001,3.466266002487403
Miami,KMIA,1.9578900207451218,2.399479110140366,1.2583057392117916,4.3182751186092805,4.783391404990117,3.417723413814132,0.7632168761236873,1.7790446874657189,2.7255405754769875,4.507691838877821,2.7386127875258306,2.758752305973534,2.7285527299284515,2.2975141846289957,3.6202801785812904,3.8269719473382966
Milwaukee,KMKE,2.4640269015229057,2.8960564319679363,2.0,3.3934811456252842,2.1088249944324096,2.4405795564637076,2.415130874892114,2.6286878856189837,1.5811388300841898,2.4232504734638693,2.104417123236605,2.980651894181156,1.7266813751901582,1.5657038581508855,2.5517500997214797,3.4423828956117024
Minneapolis,KMSP,2.0873770280289223,5.066627506114328,2.6049403612586386,5.555113474474281,2.8208408067707147,2.645886294933,2.722918602214489,2.5734912362114484,2.3145502494313788,2.070024154448445,2.4784787961282104,2.557900925144902,2.22854853468094,2.378474901516275,2.0691613207839974,2.9513919234344814
Nashville,KBNA,1.0690449676496976,1.6283207827171442,2.2038926600773587,1.831470915489983,2.356753214548716,3.112188022230388,2.853819495743506,3.5054039913906005,3.2732683535398857,2.7763027829934455,2.4201534780139164,1.8992479714726194,2.0573908580668743,2.2936247046355005,2.9164557746885666,3.5766105263423444
New Orleans,KMSY,3.058944729337694,3.178049716414142,3.359421718944242,3.708099243547831,3.4669871646719432,2.975615182493482,3.4999999999999996,4.036087214122116,1.5811388300841898,1.24527679080367,1.7320508075688772,2.8005101576064932,3.3702479773113785,0.9985704067029306,4.960918693721386,5.199381831388366
New York City,KNYC,2.6859422395661667,6.186967870336117,2.9154759474226504,3.9118866474959546,3.053218442421514,3.3855786591279866,2.9698484809835004,3.9786932528155523,2.2519832529192065,4.129510520976688,2.0873770280289223,2.417791199776003,1.897366596101029,2.2258224804071207,3.633966742516264,3.9407214712899616
New York JFK,KJFK,1.9639610121239315,3.899450510740491,2.2519832529192065,3.5335130232835237,2.834733547569202,3.0168573999161055,1.8886881312548272,2.455314934702151,2.1547290184283368,4.02376866702278,2.0701966780270626,2.583325652830364,2.1671244937540086,1.9974984355438186,3.400000000000001,4.317820217259101
New York LaGuardia,KLGA,2.712405363721075,2.185667599874891,2.2519832529192065,3.611489601654299,3.067106593704049,2.42236602165262,2.0474723092493474,1.722954273499858,2.0873770280289223,2.2371857321197095,2.4640269015229057,4.4274307286667804,2.9562282919770775,3.7181024346144245,2.4461339760061027,2.516374943672518
New York Newark,KEWR,2.84102597162162,2.927944183699057,2.5773740789526736,3.6734569160786004,3.5337151635556103,2.67287966700443,2.094039159137191,1.3125765283811603,2.6859422395661667,2.474729422439091,2.6186146828319083,3.627376068573142,2.790801216240853,2.248332715591711,4.775682449361856,4.534392383298371
Oakland,KOAK,3.6351458999998494,9.326842981416595,4.6291004988627575,3.6041642581880207,3.9756401101853145,3.5635054971995515,3.2138094885309294,5.772719091925896,2.7645717829090897,2.5472674434718137,2.7386127875258306,1.5879006805932703,1.1541849319510529,1.8960485225858534,1.896425208498497,1.6824726701240307
Oklahoma City,KOKC,2.632217967526897,4.352749541545959,2.104417123236605,1.9542992898442444,1.9735754355990558,2.1671244937540086,1.7716013740600427,1.9874606914351785,3.1509635714446826,7.442157905185448,4.399675312695569,8.77956230604432,7.885067261240433,4.059028736744088,6.624952830020755,8.529528541652063
Omaha,KOMA,3.011881234615431,7.462812568232666,3.295017884191656,5.238456697485297,3.463895412475877,3.236069043939401,2.912289232103943,3.3801944153723307,2.659215781283755,2.166794868002045,3.3273756282434617,2.70726535719824,2.933062758083629,2.352050776905731,2.500428534700174,3.1673558147361427
