DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: F2000_cosp2 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4 (yrs 1-4)
 
Variable        F2000_cosp2         F2000_cosp1p4         F2000_cosp2        RMSE
                                                          -F2000_cosp1p4
RESTOM             4.031               4.031             0.000         0.000
RESSURF            4.032               4.032             0.000         0.000
SOLIN            340.308             340.308             0.000         0.000
AAM            1.279e+26           1.279e+26         0.000e+00      -999.000
CHI_200            0.004               0.004             0.000         0.000
CLDHGH            43.963              43.963             0.000         0.000
CLDLOW            40.418              40.418             0.000         0.000
CLDMED            30.161              30.161             0.000         0.000
CLDTOT            69.055              69.055             0.000         0.000
EKE_850           36.792              36.792             0.000         0.000
EP            -9.678e-04          -9.678e-04         0.000e+00         0.000
FLNS              55.572              55.572             0.000         0.000
FLNSC             82.608              82.608             0.000         0.000
FLNT             235.458             235.458             0.000         0.000
FLNTC            259.332             259.332             0.000         0.000
FSDS             188.382             188.382             0.000         0.000
FSDSC            246.253             246.253             0.000         0.000
FSNS             165.298             165.298             0.000         0.000
FSNSC            217.047             217.047             0.000         0.000
FSNSC_ICE         63.464              63.464             0.000         0.000
FSNSC_LAND       178.717             178.717             0.000         0.000
FSNT             239.489             239.489             0.000         0.000
FSNTC            286.478             286.478             0.000         0.000
ICEAREA           20.238              20.238             0.000         0.000
LHFLX             84.178              84.178             0.000         0.000
LWCF              23.874              23.874             0.000         0.000
PRECT              2.878               2.878             0.000         0.000
PRECT_LAND         2.430               2.430             0.000         0.000
PRECT_OCEAN        3.185               3.185             0.000         0.000
PREH2O            24.391              24.391             0.000         0.000
PREH2O_OCEAN      28.301              28.301             0.000         0.000
PSI_200           -0.012              -0.012             0.000         0.000
PS               985.272             985.272             0.000         0.000
PSL             1011.272            1011.272             0.000         0.000
QFLX               2.877               2.877             0.000         0.000
SHFLX             21.516              21.516             0.000         0.000
SNOWHLND         106.487             106.487             0.000         0.000
SST               20.088              20.088             0.000         0.000
STRESS_MAG         0.067               0.067             0.000         0.000
SWCF             -46.989             -46.989             0.000         0.000
T_850            280.447             280.447             0.000         0.000
TGCLDLWP          64.778              64.778             0.000         0.000
TGCLDIWP          13.047              13.047             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.123               0.123             0.000         0.000
AODDUST            0.026               0.026             0.000         0.000
TREFHT           287.160             287.160             0.000         0.000
TS               288.304             288.304             0.000         0.000
TS_LAND          282.225             282.225             0.000         0.000
U_200             14.892              14.892             0.000         0.000
VT_850             0.118               0.118             0.000         0.000
Z3_500            56.424              56.424             0.000         0.000
