DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: F2000_cosp2 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4 (yrs 1-4)
 
Variable        F2000_cosp2         F2000_cosp1p4         F2000_cosp2        RMSE
                                                          -F2000_cosp1p4
RESTOM            55.159              55.159             0.000         0.000
RESSURF           62.100              62.100             0.000         0.000
SOLIN            445.949             445.949             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -4.464              -4.464             0.000         0.000
CLDHGH            40.539              40.539             0.000         0.000
CLDLOW            38.812              38.812             0.000         0.000
CLDMED            26.658              26.658             0.000         0.000
CLDTOT            64.468              64.468             0.000         0.000
EKE_850           26.840              26.840             0.000         0.000
EP            -3.354e-01          -3.354e-01         0.000e+00         0.000
FLNS              56.826              56.826             0.000         0.000
FLNSC             84.365              84.365             0.000         0.000
FLNT             247.918             247.918             0.000         0.000
FLNTC            269.239             269.239             0.000         0.000
FSDS             236.701             236.701             0.000         0.000
FSDSC            323.169             323.169             0.000         0.000
FSNS             202.281             202.281             0.000         0.000
FSNSC            277.932             277.932             0.000         0.000
FSNSC_ICE        170.226             170.226             0.000         0.000
FSNSC_LAND       259.878             259.878             0.000         0.000
FSNT             303.077             303.077             0.000         0.000
FSNTC            370.577             370.577             0.000         0.000
ICEAREA            8.208               8.208             0.000         0.000
LHFLX             54.838              54.838             0.000         0.000
LWCF              21.320              21.320             0.000         0.000
PRECT              2.266               2.266             0.000         0.000
PRECT_LAND         2.487               2.487             0.000         0.000
PRECT_OCEAN        2.182               2.182             0.000         0.000
PREH2O            25.468              25.468             0.000         0.000
PREH2O_OCEAN      30.451              30.451             0.000         0.000
PSI_200           -3.592              -3.592             0.000         0.000
PS               974.407             974.407             0.000         0.000
PSL             1012.472            1012.472             0.000         0.000
QFLX               1.931               1.931             0.000         0.000
SHFLX             28.516              28.516             0.000         0.000
SNOWHLND          28.375              28.375             0.000         0.000
SST               19.627              19.627             0.000         0.000
STRESS_MAG         0.046               0.046             0.000         0.000
SWCF             -67.499             -67.499             0.000         0.000
T_850            284.911             284.911             0.000         0.000
TGCLDLWP          73.123              73.123             0.000         0.000
TGCLDIWP          13.440              13.440             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.156               0.156             0.000         0.000
AODDUST            0.058               0.058             0.000         0.000
TREFHT           290.896             290.896             0.000         0.000
TS               291.796             291.796             0.000         0.000
TS_LAND          293.471             293.471             0.000         0.000
U_200              9.088               9.088             0.000         0.000
VT_850             0.107               0.107             0.000         0.000
Z3_500            57.383              57.383             0.000         0.000
