DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: F2000_cosp2 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4 (yrs 1-4)
 
Variable        F2000_cosp2         F2000_cosp1p4         F2000_cosp2        RMSE
                                                          -F2000_cosp1p4
RESTOM           -67.851             -67.851             0.000         0.000
RESSURF          -35.933             -35.933             0.000         0.000
SOLIN            239.498             239.498             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.439              -1.439             0.000         0.000
CLDHGH            40.053              40.053             0.000         0.000
CLDLOW            42.261              42.261             0.000         0.000
CLDMED            33.423              33.423             0.000         0.000
CLDTOT            65.849              65.849             0.000         0.000
EKE_850           37.834              37.834             0.000         0.000
EP            -6.851e-02          -6.851e-02         0.000e+00         0.000
FLNS              60.787              60.787             0.000         0.000
FLNSC             90.198              90.198             0.000         0.000
FLNT             233.869             233.869             0.000         0.000
FLNTC            253.581             253.581             0.000         0.000
FSDS             131.709             131.709             0.000         0.000
FSDSC            168.857             168.857             0.000         0.000
FSNS             113.456             113.456             0.000         0.000
FSNSC            145.614             145.614             0.000         0.000
FSNSC_ICE         13.193              13.193             0.000         0.000
FSNSC_LAND       130.118             130.118             0.000         0.000
FSNT             166.018             166.018             0.000         0.000
FSNTC            196.001             196.001             0.000         0.000
ICEAREA            7.948               7.948             0.000         0.000
LHFLX             66.451              66.451             0.000         0.000
LWCF              19.712              19.712             0.000         0.000
PRECT              2.332               2.332             0.000         0.000
PRECT_LAND         1.639               1.639             0.000         0.000
PRECT_OCEAN        3.181               3.181             0.000         0.000
PREH2O            18.168              18.168             0.000         0.000
PREH2O_OCEAN      24.544              24.544             0.000         0.000
PSI_200           -6.058              -6.058             0.000         0.000
PS               976.155             976.155             0.000         0.000
PSL             1015.525            1015.525             0.000         0.000
QFLX               2.263               2.263             0.000         0.000
SHFLX             22.150              22.150             0.000         0.000
SNOWHLND          28.597              28.597             0.000         0.000
SST               19.018              19.018             0.000         0.000
STRESS_MAG         0.056               0.056             0.000         0.000
SWCF             -29.983             -29.983             0.000         0.000
T_850            277.484             277.484             0.000         0.000
TGCLDLWP          62.698              62.698             0.000         0.000
TGCLDIWP          10.723              10.723             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.111               0.111             0.000         0.000
AODDUST            0.033               0.033             0.000         0.000
TREFHT           284.132             284.132             0.000         0.000
TS               285.196             285.196             0.000         0.000
TS_LAND          281.104             281.104             0.000         0.000
U_200             17.371              17.371             0.000         0.000
VT_850             0.168               0.168             0.000         0.000
Z3_500            56.221              56.221             0.000         0.000
