DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: F2000_cosp2 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4 (yrs 1-4)
 
Variable        F2000_cosp2         F2000_cosp1p4         F2000_cosp2        RMSE
                                                          -F2000_cosp1p4
RESTOM          -114.534            -114.534             0.000         0.000
RESSURF          -86.541             -86.541             0.000         0.000
SOLIN            154.682             154.682             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.888               4.888             0.000         0.000
CLDHGH            37.827              37.827             0.000         0.000
CLDLOW            61.171              61.171             0.000         0.000
CLDMED            37.089              37.089             0.000         0.000
CLDTOT            76.509              76.509             0.000         0.000
EKE_850           60.645              60.645             0.000         0.000
EP             1.770e-01           1.770e-01         0.000e+00         0.000
FLNS              51.770              51.770             0.000         0.000
FLNSC             92.006              92.006             0.000         0.000
FLNT             216.351             216.351             0.000         0.000
FLNTC            238.675             238.675             0.000         0.000
FSDS              75.761              75.761             0.000         0.000
FSDSC            107.691             107.691             0.000         0.000
FSNS              68.659              68.659             0.000         0.000
FSNSC             96.441              96.441             0.000         0.000
FSNSC_ICE          2.576               2.576             0.000         0.000
FSNSC_LAND        76.884              76.884             0.000         0.000
FSNT             101.817             101.817             0.000         0.000
FSNTC            127.778             127.778             0.000         0.000
ICEAREA           13.550              13.550             0.000         0.000
LHFLX             83.725              83.725             0.000         0.000
LWCF              22.324              22.324             0.000         0.000
PRECT              2.622               2.622             0.000         0.000
PRECT_LAND         0.943               0.943             0.000         0.000
PRECT_OCEAN        3.114               3.114             0.000         0.000
PREH2O            12.726              12.726             0.000         0.000
PREH2O_OCEAN      15.030              15.030             0.000         0.000
PSI_200            6.438               6.438             0.000         0.000
PS               983.878             983.878             0.000         0.000
PSL             1008.411            1008.411             0.000         0.000
QFLX               2.799               2.799             0.000         0.000
SHFLX             19.704              19.704             0.000         0.000
SNOWHLND         470.584             470.584             0.000         0.000
SST               12.765              12.765             0.000         0.000
STRESS_MAG         0.106               0.106             0.000         0.000
SWCF             -25.960             -25.960             0.000         0.000
T_850            271.457             271.457             0.000         0.000
TGCLDLWP          73.364              73.364             0.000         0.000
TGCLDIWP          11.692              11.692             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.082               0.082             0.000         0.000
AODDUST            0.002               0.002             0.000         0.000
TREFHT           277.150             277.150             0.000         0.000
TS               278.284             278.284             0.000         0.000
TS_LAND          257.636             257.636             0.000         0.000
U_200             28.947              28.947             0.000         0.000
VT_850            -0.677              -0.677             0.000         0.000
Z3_500            54.230              54.230             0.000         0.000
