DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: F2000_cosp2 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4 (yrs 1-4)
 
Variable        F2000_cosp2         F2000_cosp1p4         F2000_cosp2        RMSE
                                                          -F2000_cosp1p4
RESTOM            15.203              15.203             0.000         0.000
RESSURF           27.318              27.318             0.000         0.000
SOLIN            367.346             367.346             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.913               1.913             0.000         0.000
CLDHGH            38.806              38.806             0.000         0.000
CLDLOW            56.795              56.795             0.000         0.000
CLDMED            34.665              34.665             0.000         0.000
CLDTOT            74.284              74.284             0.000         0.000
EKE_850           50.437              50.437             0.000         0.000
EP             9.707e-02           9.707e-02         0.000e+00         0.000
FLNS              51.676              51.676             0.000         0.000
FLNSC             90.279              90.279             0.000         0.000
FLNT             223.253             223.253             0.000         0.000
FLNTC            243.956             243.956             0.000         0.000
FSDS             198.011             198.011             0.000         0.000
FSDSC            275.547             275.547             0.000         0.000
FSNS             163.644             163.644             0.000         0.000
FSNSC            231.749             231.749             0.000         0.000
FSNSC_ICE         66.511              66.511             0.000         0.000
FSNSC_LAND       149.544             149.544             0.000         0.000
FSNT             238.456             238.456             0.000         0.000
FSNTC            297.852             297.852             0.000         0.000
ICEAREA           14.628              14.628             0.000         0.000
LHFLX             67.357              67.357             0.000         0.000
LWCF              20.703              20.703             0.000         0.000
PRECT              2.162               2.162             0.000         0.000
PRECT_LAND         1.260               1.260             0.000         0.000
PRECT_OCEAN        2.439               2.439             0.000         0.000
PREH2O            14.300              14.300             0.000         0.000
PREH2O_OCEAN      16.471              16.471             0.000         0.000
PSI_200            7.260               7.260             0.000         0.000
PS               982.495             982.495             0.000         0.000
PSL             1006.649            1006.649             0.000         0.000
QFLX               2.259               2.259             0.000         0.000
SHFLX             17.293              17.293             0.000         0.000
SNOWHLND         470.582             470.582             0.000         0.000
SST               12.792              12.792             0.000         0.000
STRESS_MAG         0.099               0.099             0.000         0.000
SWCF             -59.397             -59.397             0.000         0.000
T_850            273.755             273.755             0.000         0.000
TGCLDLWP          77.973              77.973             0.000         0.000
TGCLDIWP           9.894               9.894             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.096               0.096             0.000         0.000
AODDUST            0.002               0.002             0.000         0.000
TREFHT           279.261             279.261             0.000         0.000
TS               280.128             280.128             0.000         0.000
TS_LAND          265.951             265.951             0.000         0.000
U_200             26.152              26.152             0.000         0.000
VT_850            -0.514              -0.514             0.000         0.000
Z3_500            54.571              54.571             0.000         0.000
