DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: F2000_cosp2 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4 (yrs 1-4)
 
Variable        F2000_cosp2         F2000_cosp1p4         F2000_cosp2        RMSE
                                                          -F2000_cosp1p4
RESTOM            61.269              61.269             0.000         0.000
RESSURF           24.970              24.970             0.000         0.000
SOLIN            408.253             408.253             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.457              -0.457             0.000         0.000
CLDHGH            52.642              52.642             0.000         0.000
CLDLOW            20.471              20.471             0.000         0.000
CLDMED            22.384              22.384             0.000         0.000
CLDTOT            64.555              64.555             0.000         0.000
EKE_850           17.885              17.885             0.000         0.000
EP             2.388e-02           2.388e-02         0.000e+00         0.000
FLNS              56.901              56.901             0.000         0.000
FLNSC             70.000              70.000             0.000         0.000
FLNT             250.449             250.449             0.000         0.000
FLNTC            280.680             280.680             0.000         0.000
FSDS             237.350             237.350             0.000         0.000
FSDSC            291.575             291.575             0.000         0.000
FSNS             219.914             219.914             0.000         0.000
FSNSC            270.793             270.793             0.000         0.000
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       242.898             242.898             0.000         0.000
FSNT             311.718             311.718             0.000         0.000
FSNTC            359.361             359.361             0.000         0.000
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            116.523             116.523             0.000         0.000
LWCF              30.231              30.231             0.000         0.000
PRECT              3.998               3.998             0.000         0.000
PRECT_LAND         4.584               4.584             0.000         0.000
PRECT_OCEAN        3.803               3.803             0.000         0.000
PREH2O            39.524              39.524             0.000         0.000
PREH2O_OCEAN      41.039              41.039             0.000         0.000
PSI_200           -0.628              -0.628             0.000         0.000
PS               996.608             996.608             0.000         0.000
PSL             1011.242            1011.242             0.000         0.000
QFLX               4.022               4.022             0.000         0.000
SHFLX             21.520              21.520             0.000         0.000
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.192              27.192             0.000         0.000
STRESS_MAG         0.051               0.051             0.000         0.000
SWCF             -47.643             -47.643             0.000         0.000
T_850            289.293             289.293             0.000         0.000
TGCLDLWP          49.283              49.283             0.000         0.000
TGCLDIWP          17.051              17.051             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.157               0.157             0.000         0.000
AODDUST            0.037               0.037             0.000         0.000
TREFHT           298.491             298.491             0.000         0.000
TS               299.947             299.947             0.000         0.000
TS_LAND          298.557             298.557             0.000         0.000
U_200              2.748               2.748             0.000         0.000
VT_850             0.466               0.466             0.000         0.000
Z3_500            58.389              58.389             0.000         0.000
