DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: F2000_cosp2 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4 (yrs 1-4)
 
Variable        F2000_cosp2         F2000_cosp1p4         F2000_cosp2        RMSE
                                                          -F2000_cosp1p4
RESTOM            69.767              69.767             0.000         0.000
RESSURF           35.123              35.123             0.000         0.000
SOLIN            412.763             412.763             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.501              -0.501             0.000         0.000
CLDHGH            54.475              54.475             0.000         0.000
CLDLOW            17.554              17.554             0.000         0.000
CLDMED            21.788              21.788             0.000         0.000
CLDTOT            64.154              64.154             0.000         0.000
EKE_850           13.071              13.071             0.000         0.000
EP             3.449e-02           3.449e-02         0.000e+00         0.000
FLNS              58.077              58.077             0.000         0.000
FLNSC             69.666              69.666             0.000         0.000
FLNT             250.366             250.366             0.000         0.000
FLNTC            281.268             281.268             0.000         0.000
FSDS             245.992             245.992             0.000         0.000
FSDSC            295.604             295.604             0.000         0.000
FSNS             227.921             227.921             0.000         0.000
FSNSC            274.450             274.450             0.000         0.000
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.329             245.329             0.000         0.000
FSNT             320.133             320.133             0.000         0.000
FSNTC            363.968             363.968             0.000         0.000
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            113.432             113.432             0.000         0.000
LWCF              30.902              30.902             0.000         0.000
PRECT              3.880               3.880             0.000         0.000
PRECT_LAND         4.793               4.793             0.000         0.000
PRECT_OCEAN        3.588               3.588             0.000         0.000
PREH2O            40.412              40.412             0.000         0.000
PREH2O_OCEAN      41.949              41.949             0.000         0.000
PSI_200            0.106               0.106             0.000         0.000
PS               996.139             996.139             0.000         0.000
PSL             1010.743            1010.743             0.000         0.000
QFLX               3.914               3.914             0.000         0.000
SHFLX             21.288              21.288             0.000         0.000
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.724              27.724             0.000         0.000
STRESS_MAG         0.047               0.047             0.000         0.000
SWCF             -43.835             -43.835             0.000         0.000
T_850            289.931             289.931             0.000         0.000
TGCLDLWP          43.843              43.843             0.000         0.000
TGCLDIWP          17.721              17.721             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.149               0.149             0.000         0.000
AODDUST            0.042               0.042             0.000         0.000
TREFHT           299.072             299.072             0.000         0.000
TS               300.583             300.583             0.000         0.000
TS_LAND          299.545             299.545             0.000         0.000
U_200              6.790               6.790             0.000         0.000
VT_850             0.024               0.024             0.000         0.000
Z3_500            58.412              58.412             0.000         0.000
