DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: F2000_cosp2_runall_001 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4_runall_001 (yrs 1-4)
 
Variable    F2000_cosp2_runall_001  F2000_cosp1p4_runall_001  F2000_cosp2_runall_001        RMSE
                                                      -F2000_cosp1p4_runall_001
RESTOM             9.581               9.581             0.000         0.000
RESSURF            8.774               8.774             0.000         0.000
SOLIN            350.538             350.538             0.000         0.000
AAM            1.398e+26           1.398e+26         0.000e+00      -999.000
CHI_200           -0.002              -0.002             0.000         0.000
CLDHGH            43.033              43.033             0.000         0.000
CLDLOW            42.111              42.111             0.000         0.000
CLDMED            31.223              31.223             0.000         0.000
CLDTOT            69.583              69.583             0.000         0.000
EKE_850           33.264              33.264             0.000         0.000
EP             3.655e-03           3.655e-03         0.000e+00         0.000
FLNS              54.272              54.272             0.000         0.000
FLNSC             81.753              81.753             0.000         0.000
FLNT             233.370             233.370             0.000         0.000
FLNTC            256.424             256.424             0.000         0.000
FSDS             192.461             192.461             0.000         0.000
FSDSC            255.495             255.495             0.000         0.000
FSNS             167.579             167.579             0.000         0.000
FSNSC            224.613             224.613             0.000         0.000
FSNSC_ICE         23.453              23.453             0.000         0.000
FSNSC_LAND       142.927             142.927             0.000         0.000
FSNT             242.951             242.951             0.000         0.000
FSNTC            294.521             294.521             0.000         0.000
ICEAREA           17.633              17.633             0.000         0.000
LHFLX             84.635              84.635             0.000         0.000
LWCF              23.055              23.055             0.000         0.000
PRECT              2.885               2.885             0.000         0.000
PRECT_LAND         2.340               2.340             0.000         0.000
PRECT_OCEAN        3.223               3.223             0.000         0.000
PREH2O            23.392              23.392             0.000         0.000
PREH2O_OCEAN      27.795              27.795             0.000         0.000
PSI_200            0.006               0.006             0.000         0.000
PS               985.174             985.174             0.000         0.000
PSL             1011.516            1011.516             0.000         0.000
QFLX               2.889               2.889             0.000         0.000
SHFLX             19.898              19.898             0.000         0.000
SNOWHLND         107.411             107.411             0.000         0.000
SST               19.749              19.749             0.000         0.000
STRESS_MAG         0.073               0.073             0.000         0.000
SWCF             -51.570             -51.570             0.000         0.000
T_850            279.029             279.029             0.000         0.000
TGCLDLWP          68.824              68.824             0.000         0.000
TGCLDIWP          12.234              12.234             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.114               0.114             0.000         0.000
AODDUST            0.017               0.017             0.000         0.000
TREFHT           285.373             285.373             0.000         0.000
TS               286.460             286.460             0.000         0.000
TS_LAND          276.405             276.405             0.000         0.000
U_200             16.001              16.001             0.000         0.000
VT_850            -0.806              -0.806             0.000         0.000
Z3_500            56.212              56.212             0.000         0.000
