DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: F2000_cosp2_runall_001 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4_runall_001 (yrs 1-4)
 
Variable    F2000_cosp2_runall_001  F2000_cosp1p4_runall_001  F2000_cosp2_runall_001        RMSE
                                                      -F2000_cosp1p4_runall_001
RESTOM            -5.355              -5.355             0.000         0.000
RESSURF           -5.889              -5.889             0.000         0.000
SOLIN            330.425             330.425             0.000         0.000
AAM            9.940e+25           9.940e+25         0.000e+00      -999.000
CHI_200            0.014               0.014             0.000         0.000
CLDHGH            42.910              42.910             0.000         0.000
CLDLOW            40.899              40.899             0.000         0.000
CLDMED            28.705              28.705             0.000         0.000
CLDTOT            68.593              68.593             0.000         0.000
EKE_850           32.270              32.270             0.000         0.000
EP             6.559e-03           6.559e-03         0.000e+00         0.000
FLNS              54.652              54.652             0.000         0.000
FLNSC             81.932              81.932             0.000         0.000
FLNT             238.445             238.445             0.000         0.000
FLNTC            262.772             262.772             0.000         0.000
FSDS             178.093             178.093             0.000         0.000
FSDSC            236.084             236.084             0.000         0.000
FSNS             158.760             158.760             0.000         0.000
FSNSC            210.596             210.596             0.000         0.000
FSNSC_ICE         59.123              59.123             0.000         0.000
FSNSC_LAND       216.227             216.227             0.000         0.000
FSNT             233.090             233.090             0.000         0.000
FSNTC            280.441             280.441             0.000         0.000
ICEAREA           21.759              21.759             0.000         0.000
LHFLX             86.745              86.745             0.000         0.000
LWCF              24.327              24.327             0.000         0.000
PRECT              2.963               2.963             0.000         0.000
PRECT_LAND         2.604               2.604             0.000         0.000
PRECT_OCEAN        3.220               3.220             0.000         0.000
PREH2O            25.968              25.968             0.000         0.000
PREH2O_OCEAN      28.831              28.831             0.000         0.000
PSI_200           -0.032              -0.032             0.000         0.000
PS               985.426             985.426             0.000         0.000
PSL             1011.099            1011.099             0.000         0.000
QFLX               2.970               2.970             0.000         0.000
SHFLX             23.252              23.252             0.000         0.000
SNOWHLND         105.044             105.044             0.000         0.000
SST               19.986              19.986             0.000         0.000
STRESS_MAG         0.076               0.076             0.000         0.000
SWCF             -47.351             -47.351             0.000         0.000
T_850            281.951             281.951             0.000         0.000
TGCLDLWP          66.371              66.371             0.000         0.000
TGCLDIWP          13.677              13.677             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.136               0.136             0.000         0.000
AODDUST            0.032               0.032             0.000         0.000
TREFHT           288.819             288.819             0.000         0.000
TS               289.971             289.971             0.000         0.000
TS_LAND          287.656             287.656             0.000         0.000
U_200             11.943              11.943             0.000         0.000
VT_850             1.065               1.065             0.000         0.000
Z3_500            56.699              56.699             0.000         0.000
