DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: F2000_cosp2_runall_001 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4_runall_001 (yrs 1-4)
 
Variable    F2000_cosp2_runall_001  F2000_cosp1p4_runall_001  F2000_cosp2_runall_001        RMSE
                                                      -F2000_cosp1p4_runall_001
RESTOM             5.632               5.632             0.000         0.000
RESSURF            4.077               4.077             0.000         0.000
SOLIN            338.295             338.295             0.000         0.000
AAM            1.462e+26           1.462e+26         0.000e+00      -999.000
CHI_200           -0.001              -0.001             0.000         0.000
CLDHGH            45.516              45.516             0.000         0.000
CLDLOW            38.860              38.860             0.000         0.000
CLDMED            30.619              30.619             0.000         0.000
CLDTOT            69.563              69.563             0.000         0.000
EKE_850           35.317              35.317             0.000         0.000
EP             1.297e-02           1.297e-02         0.000e+00         0.000
FLNS              56.842              56.842             0.000         0.000
FLNSC             83.231              83.231             0.000         0.000
FLNT             234.239             234.239             0.000         0.000
FLNTC            258.648             258.648             0.000         0.000
FSDS             191.328             191.328             0.000         0.000
FSDSC            245.164             245.164             0.000         0.000
FSNS             166.568             166.568             0.000         0.000
FSNSC            213.981             213.981             0.000         0.000
FSNSC_ICE         40.773              40.773             0.000         0.000
FSNSC_LAND       189.450             189.450             0.000         0.000
FSNT             239.871             239.871             0.000         0.000
FSNTC            282.966             282.966             0.000         0.000
ICEAREA           18.951              18.951             0.000         0.000
LHFLX             83.394              83.394             0.000         0.000
LWCF              24.409              24.409             0.000         0.000
PRECT              2.833               2.833             0.000         0.000
PRECT_LAND         2.358               2.358             0.000         0.000
PRECT_OCEAN        3.141               3.141             0.000         0.000
PREH2O            24.123              24.123             0.000         0.000
PREH2O_OCEAN      28.180              28.180             0.000         0.000
PSI_200           -0.008              -0.008             0.000         0.000
PS               985.246             985.246             0.000         0.000
PSL             1011.282            1011.282             0.000         0.000
QFLX               2.846               2.846             0.000         0.000
SHFLX             22.256              22.256             0.000         0.000
SNOWHLND         108.265             108.265             0.000         0.000
SST               19.875              19.875             0.000         0.000
STRESS_MAG         0.064               0.064             0.000         0.000
SWCF             -43.095             -43.095             0.000         0.000
T_850            280.393             280.393             0.000         0.000
TGCLDLWP          60.852              60.852             0.000         0.000
TGCLDIWP          13.472              13.472             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.123               0.123             0.000         0.000
AODDUST            0.033               0.033             0.000         0.000
TREFHT           287.087             287.087             0.000         0.000
TS               288.270             288.270             0.000         0.000
TS_LAND          281.781             281.781             0.000         0.000
U_200             16.651              16.651             0.000         0.000
VT_850             0.036               0.036             0.000         0.000
Z3_500            56.373              56.373             0.000         0.000
