DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: F2000_cosp2_runall_001 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4_runall_001 (yrs 1-4)
 
Variable    F2000_cosp2_runall_001  F2000_cosp1p4_runall_001  F2000_cosp2_runall_001        RMSE
                                                      -F2000_cosp1p4_runall_001
RESTOM             6.029               6.029             0.000         0.000
RESSURF            8.982               8.982             0.000         0.000
SOLIN            342.218             342.218             0.000         0.000
AAM            1.272e+26           1.272e+26         0.000e+00      -999.000
CHI_200            0.006               0.006             0.000         0.000
CLDHGH            44.000              44.000             0.000         0.000
CLDLOW            39.940              39.940             0.000         0.000
CLDMED            30.056              30.056             0.000         0.000
CLDTOT            68.386              68.386             0.000         0.000
EKE_850           33.120              33.120             0.000         0.000
EP            -2.695e-02          -2.695e-02         0.000e+00         0.000
FLNS              56.363              56.363             0.000         0.000
FLNSC             83.454              83.454             0.000         0.000
FLNT             235.939             235.939             0.000         0.000
FLNTC            259.551             259.551             0.000         0.000
FSDS             191.404             191.404             0.000         0.000
FSDSC            248.418             248.418             0.000         0.000
FSNS             168.073             168.073             0.000         0.000
FSNSC            219.182             219.182             0.000         0.000
FSNSC_ICE         49.492              49.492             0.000         0.000
FSNSC_LAND       165.444             165.444             0.000         0.000
FSNT             241.967             241.967             0.000         0.000
FSNTC            288.236             288.236             0.000         0.000
ICEAREA           22.577              22.577             0.000         0.000
LHFLX             82.145              82.145             0.000         0.000
LWCF              23.612              23.612             0.000         0.000
PRECT              2.836               2.836             0.000         0.000
PRECT_LAND         2.418               2.418             0.000         0.000
PRECT_OCEAN        3.122               3.122             0.000         0.000
PREH2O            24.102              24.102             0.000         0.000
PREH2O_OCEAN      27.900              27.900             0.000         0.000
PSI_200           -0.015              -0.015             0.000         0.000
PS               985.244             985.244             0.000         0.000
PSL             1011.198            1011.198             0.000         0.000
QFLX               2.809               2.809             0.000         0.000
SHFLX             20.583              20.583             0.000         0.000
SNOWHLND         105.162             105.162             0.000         0.000
SST               19.881              19.881             0.000         0.000
STRESS_MAG         0.070               0.070             0.000         0.000
SWCF             -46.268             -46.268             0.000         0.000
T_850            280.451             280.451             0.000         0.000
TGCLDLWP          63.554              63.554             0.000         0.000
TGCLDIWP          12.762              12.762             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.121               0.121             0.000         0.000
AODDUST            0.023               0.023             0.000         0.000
TREFHT           287.370             287.370             0.000         0.000
TS               288.518             288.518             0.000         0.000
TS_LAND          283.089             283.089             0.000         0.000
U_200             14.956              14.956             0.000         0.000
VT_850             0.115               0.115             0.000         0.000
Z3_500            56.416              56.416             0.000         0.000
