DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: F2000_cosp2_runall_001 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4_runall_001 (yrs 1-4)
 
Variable    F2000_cosp2_runall_001  F2000_cosp1p4_runall_001  F2000_cosp2_runall_001        RMSE
                                                      -F2000_cosp1p4_runall_001
RESTOM           -26.000             -26.000             0.000         0.000
RESSURF           -8.565              -8.565             0.000         0.000
SOLIN            305.526             305.526             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.379              -0.379             0.000         0.000
CLDHGH            40.312              40.312             0.000         0.000
CLDLOW            44.092              44.092             0.000         0.000
CLDMED            33.616              33.616             0.000         0.000
CLDTOT            68.025              68.025             0.000         0.000
EKE_850           42.571              42.571             0.000         0.000
EP            -6.681e-02          -6.681e-02         0.000e+00         0.000
FLNS              59.623              59.623             0.000         0.000
FLNSC             89.768              89.768             0.000         0.000
FLNT             230.719             230.719             0.000         0.000
FLNTC            250.595             250.595             0.000         0.000
FSDS             167.029             167.029             0.000         0.000
FSDSC            221.148             221.148             0.000         0.000
FSNS             138.200             138.200             0.000         0.000
FSNSC            184.355             184.355             0.000         0.000
FSNSC_ICE         59.068              59.068             0.000         0.000
FSNSC_LAND       165.486             165.486             0.000         0.000
FSNT             204.718             204.718             0.000         0.000
FSNTC            246.230             246.230             0.000         0.000
ICEAREA           10.595              10.595             0.000         0.000
LHFLX             61.283              61.283             0.000         0.000
LWCF              19.877              19.877             0.000         0.000
PRECT              2.151               2.151             0.000         0.000
PRECT_LAND         1.665               1.665             0.000         0.000
PRECT_OCEAN        2.847               2.847             0.000         0.000
PREH2O            17.144              17.144             0.000         0.000
PREH2O_OCEAN      23.051              23.051             0.000         0.000
PSI_200           -6.450              -6.450             0.000         0.000
PS               975.730             975.730             0.000         0.000
PSL             1015.182            1015.182             0.000         0.000
QFLX               2.084               2.084             0.000         0.000
SHFLX             25.859              25.859             0.000         0.000
SNOWHLND          31.125              31.125             0.000         0.000
SST               17.620              17.620             0.000         0.000
STRESS_MAG         0.051               0.051             0.000         0.000
SWCF             -41.512             -41.512             0.000         0.000
T_850            276.633             276.633             0.000         0.000
TGCLDLWP          65.221              65.221             0.000         0.000
TGCLDIWP          11.621              11.621             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.120               0.120             0.000         0.000
AODDUST            0.040               0.040             0.000         0.000
TREFHT           282.324             282.324             0.000         0.000
TS               283.354             283.354             0.000         0.000
TS_LAND          280.000             280.000             0.000         0.000
U_200             17.834              17.834             0.000         0.000
VT_850             0.319               0.319             0.000         0.000
Z3_500            55.988              55.988             0.000         0.000
