DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: F2000_cosp2_runall_001 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4_runall_001 (yrs 1-4)
 
Variable    F2000_cosp2_runall_001  F2000_cosp1p4_runall_001  F2000_cosp2_runall_001        RMSE
                                                      -F2000_cosp1p4_runall_001
RESTOM          -108.744            -108.744             0.000         0.000
RESSURF          -80.771             -80.771             0.000         0.000
SOLIN            165.204             165.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.844               3.844             0.000         0.000
CLDHGH            38.005              38.005             0.000         0.000
CLDLOW            52.457              52.457             0.000         0.000
CLDMED            39.200              39.200             0.000         0.000
CLDTOT            72.008              72.008             0.000         0.000
EKE_850           52.282              52.282             0.000         0.000
EP             1.510e-01           1.510e-01         0.000e+00         0.000
FLNS              57.623              57.623             0.000         0.000
FLNSC             91.049              91.049             0.000         0.000
FLNT             214.317             214.317             0.000         0.000
FLNTC            232.515             232.515             0.000         0.000
FSDS              87.719              87.719             0.000         0.000
FSDSC            116.669             116.669             0.000         0.000
FSNS              70.588              70.588             0.000         0.000
FSNSC             94.668              94.668             0.000         0.000
FSNSC_ICE          1.221               1.221             0.000         0.000
FSNSC_LAND        76.027              76.027             0.000         0.000
FSNT             105.574             105.574             0.000         0.000
FSNTC            128.049             128.049             0.000         0.000
ICEAREA           13.041              13.041             0.000         0.000
LHFLX             69.338              69.338             0.000         0.000
LWCF              18.198              18.198             0.000         0.000
PRECT              2.152               2.152             0.000         0.000
PRECT_LAND         1.101               1.101             0.000         0.000
PRECT_OCEAN        3.511               3.511             0.000         0.000
PREH2O            10.841              10.841             0.000         0.000
PREH2O_OCEAN      16.971              16.971             0.000         0.000
PSI_200           -8.131              -8.131             0.000         0.000
PS               976.215             976.215             0.000         0.000
PSL             1017.147            1017.147             0.000         0.000
QFLX               2.303               2.303             0.000         0.000
SHFLX             24.398              24.398             0.000         0.000
SNOWHLND          32.909              32.909             0.000         0.000
SST               15.555              15.555             0.000         0.000
STRESS_MAG         0.077               0.077             0.000         0.000
SWCF             -22.476             -22.476             0.000         0.000
T_850            269.112             269.112             0.000         0.000
TGCLDLWP          66.415              66.415             0.000         0.000
TGCLDIWP          10.469              10.469             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.083               0.083             0.000         0.000
AODDUST            0.013               0.013             0.000         0.000
TREFHT           273.432             273.432             0.000         0.000
TS               274.598             274.598             0.000         0.000
TS_LAND          265.994             265.994             0.000         0.000
U_200             25.210              25.210             0.000         0.000
VT_850             0.511               0.511             0.000         0.000
Z3_500            54.691              54.691             0.000         0.000
