DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: F2000_cosp2_runall_001 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4_runall_001 (yrs 1-4)
 
Variable    F2000_cosp2_runall_001  F2000_cosp1p4_runall_001  F2000_cosp2_runall_001        RMSE
                                                      -F2000_cosp1p4_runall_001
RESTOM            14.945              14.945             0.000         0.000
RESSURF           18.675              18.675             0.000         0.000
SOLIN            367.686             367.686             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.833               0.833             0.000         0.000
CLDHGH            41.863              41.863             0.000         0.000
CLDLOW            42.846              42.846             0.000         0.000
CLDMED            35.294              35.294             0.000         0.000
CLDTOT            69.496              69.496             0.000         0.000
EKE_850           44.480              44.480             0.000         0.000
EP            -1.768e-02          -1.768e-02         0.000e+00         0.000
FLNS              63.249              63.249             0.000         0.000
FLNSC             93.577              93.577             0.000         0.000
FLNT             226.802             226.802             0.000         0.000
FLNTC            246.991             246.991             0.000         0.000
FSDS             209.884             209.884             0.000         0.000
FSDSC            273.003             273.003             0.000         0.000
FSNS             164.808             164.808             0.000         0.000
FSNSC            216.876             216.876             0.000         0.000
FSNSC_ICE         46.785              46.785             0.000         0.000
FSNSC_LAND       193.667             193.667             0.000         0.000
FSNT             241.748             241.748             0.000         0.000
FSNTC            287.266             287.266             0.000         0.000
ICEAREA           13.205              13.205             0.000         0.000
LHFLX             54.660              54.660             0.000         0.000
LWCF              20.189              20.189             0.000         0.000
PRECT              1.862               1.862             0.000         0.000
PRECT_LAND         1.413               1.413             0.000         0.000
PRECT_OCEAN        2.540               2.540             0.000         0.000
PREH2O            13.974              13.974             0.000         0.000
PREH2O_OCEAN      19.516              19.516             0.000         0.000
PSI_200           -8.011              -8.011             0.000         0.000
PS               975.823             975.823             0.000         0.000
PSL             1015.278            1015.278             0.000         0.000
QFLX               1.844               1.844             0.000         0.000
SHFLX             28.225              28.225             0.000         0.000
SNOWHLND          34.517              34.517             0.000         0.000
SST               15.516              15.516             0.000         0.000
STRESS_MAG         0.046               0.046             0.000         0.000
SWCF             -45.518             -45.518             0.000         0.000
T_850            275.013             275.013             0.000         0.000
TGCLDLWP          58.533              58.533             0.000         0.000
TGCLDIWP          11.822              11.822             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.132               0.132             0.000         0.000
AODDUST            0.055               0.055             0.000         0.000
TREFHT           280.770             280.770             0.000         0.000
TS               281.766             281.766             0.000         0.000
TS_LAND          279.379             279.379             0.000         0.000
U_200             19.909              19.909             0.000         0.000
VT_850             0.489               0.489             0.000         0.000
Z3_500            55.617              55.617             0.000         0.000
