DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: F2000_cosp2_runall_001 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4_runall_001 (yrs 1-4)
 
Variable    F2000_cosp2_runall_001  F2000_cosp1p4_runall_001  F2000_cosp2_runall_001        RMSE
                                                      -F2000_cosp1p4_runall_001
RESTOM           -24.537             -24.537             0.000         0.000
RESSURF           -4.808              -4.808             0.000         0.000
SOLIN            305.526             305.526             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.859               0.859             0.000         0.000
CLDHGH            38.728              38.728             0.000         0.000
CLDLOW            57.166              57.166             0.000         0.000
CLDMED            34.669              34.669             0.000         0.000
CLDTOT            74.692              74.692             0.000         0.000
EKE_850           51.474              51.474             0.000         0.000
EP             3.943e-02           3.943e-02         0.000e+00         0.000
FLNS              50.162              50.162             0.000         0.000
FLNSC             88.357              88.357             0.000         0.000
FLNT             224.849             224.849             0.000         0.000
FLNTC            246.211             246.211             0.000         0.000
FSDS             159.602             159.602             0.000         0.000
FSDSC            224.956             224.956             0.000         0.000
FSNS             136.479             136.479             0.000         0.000
FSNSC            194.712             194.712             0.000         0.000
FSNSC_ICE         69.854              69.854             0.000         0.000
FSNSC_LAND       129.007             129.007             0.000         0.000
FSNT             200.312             200.312             0.000         0.000
FSNTC            252.107             252.107             0.000         0.000
ICEAREA            9.643               9.643             0.000         0.000
LHFLX             73.957              73.957             0.000         0.000
LWCF              21.362              21.362             0.000         0.000
PRECT              2.457               2.457             0.000         0.000
PRECT_LAND         1.515               1.515             0.000         0.000
PRECT_OCEAN        2.747               2.747             0.000         0.000
PREH2O            16.144              16.144             0.000         0.000
PREH2O_OCEAN      18.261              18.261             0.000         0.000
PSI_200            7.055               7.055             0.000         0.000
PS               983.207             983.207             0.000         0.000
PSL             1007.392            1007.392             0.000         0.000
QFLX               2.496               2.496             0.000         0.000
SHFLX             17.168              17.168             0.000         0.000
SNOWHLND         470.525             470.525             0.000         0.000
SST               13.994              13.994             0.000         0.000
STRESS_MAG         0.093               0.093             0.000         0.000
SWCF             -51.795             -51.795             0.000         0.000
T_850            274.688             274.688             0.000         0.000
TGCLDLWP          80.200              80.200             0.000         0.000
TGCLDIWP          10.374              10.374             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.092               0.092             0.000         0.000
AODDUST            0.002               0.002             0.000         0.000
TREFHT           280.395             280.395             0.000         0.000
TS               281.332             281.332             0.000         0.000
TS_LAND          265.718             265.718             0.000         0.000
U_200             24.384              24.384             0.000         0.000
VT_850            -0.458              -0.458             0.000         0.000
Z3_500            54.847              54.847             0.000         0.000
