DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: F2000_cosp2_runall_001 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4_runall_001 (yrs 1-4)
 
Variable    F2000_cosp2_runall_001  F2000_cosp1p4_runall_001  F2000_cosp2_runall_001        RMSE
                                                      -F2000_cosp1p4_runall_001
RESTOM            72.505              72.505             0.000         0.000
RESSURF           84.258              84.258             0.000         0.000
SOLIN            471.699             471.699             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.323              -3.323             0.000         0.000
CLDHGH            38.162              38.162             0.000         0.000
CLDLOW            54.200              54.200             0.000         0.000
CLDMED            31.806              31.806             0.000         0.000
CLDTOT            72.936              72.936             0.000         0.000
EKE_850           37.015              37.015             0.000         0.000
EP            -1.426e-01          -1.426e-01         0.000e+00         0.000
FLNS              47.635              47.635             0.000         0.000
FLNSC             84.103              84.103             0.000         0.000
FLNT             234.904             234.904             0.000         0.000
FLNTC            255.270             255.270             0.000         0.000
FSDS             249.343             249.343             0.000         0.000
FSDSC            354.074             354.074             0.000         0.000
FSNS             209.265             209.265             0.000         0.000
FSNSC            304.191             304.191             0.000         0.000
FSNSC_ICE        162.930             162.930             0.000         0.000
FSNSC_LAND       188.090             188.090             0.000         0.000
FSNT             307.409             307.409             0.000         0.000
FSNTC            390.624             390.624             0.000         0.000
ICEAREA            4.593               4.593             0.000         0.000
LHFLX             63.038              63.038             0.000         0.000
LWCF              20.366              20.366             0.000         0.000
PRECT              2.307               2.307             0.000         0.000
PRECT_LAND         2.354               2.354             0.000         0.000
PRECT_OCEAN        2.333               2.333             0.000         0.000
PREH2O            20.125              20.125             0.000         0.000
PREH2O_OCEAN      21.284              21.284             0.000         0.000
PSI_200            6.588               6.588             0.000         0.000
PS               983.110             983.110             0.000         0.000
PSL             1006.840            1006.840             0.000         0.000
QFLX               2.164               2.164             0.000         0.000
SHFLX             14.333              14.333             0.000         0.000
SNOWHLND         470.428             470.428             0.000         0.000
SST               14.639              14.639             0.000         0.000
STRESS_MAG         0.085               0.085             0.000         0.000
SWCF             -83.215             -83.215             0.000         0.000
T_850            278.224             278.224             0.000         0.000
TGCLDLWP          90.013              90.013             0.000         0.000
TGCLDIWP           9.075               9.075             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.106               0.106             0.000         0.000
AODDUST            0.002               0.002             0.000         0.000
TREFHT           284.125             284.125             0.000         0.000
TS               284.829             284.829             0.000         0.000
TS_LAND          275.818             275.818             0.000         0.000
U_200             18.746              18.746             0.000         0.000
VT_850            -0.235              -0.235             0.000         0.000
Z3_500            55.588              55.588             0.000         0.000
