DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: F2000_cosp2_runall_001 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4_runall_001 (yrs 1-4)
 
Variable    F2000_cosp2_runall_001  F2000_cosp1p4_runall_001  F2000_cosp2_runall_001        RMSE
                                                      -F2000_cosp1p4_runall_001
RESTOM           -69.342             -69.342             0.000         0.000
RESSURF          -42.307             -42.307             0.000         0.000
SOLIN            232.662             232.662             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.323              -0.323             0.000         0.000
CLDHGH            39.997              39.997             0.000         0.000
CLDLOW            56.688              56.688             0.000         0.000
CLDMED            34.986              34.986             0.000         0.000
CLDTOT            75.167              75.167             0.000         0.000
EKE_850           50.240              50.240             0.000         0.000
EP             2.160e-02           2.160e-02         0.000e+00         0.000
FLNS              49.171              49.171             0.000         0.000
FLNSC             86.774              86.774             0.000         0.000
FLNT             225.163             225.163             0.000         0.000
FLNTC            247.145             247.145             0.000         0.000
FSDS             116.807             116.807             0.000         0.000
FSDSC            165.683             165.683             0.000         0.000
FSNS             105.515             105.515             0.000         0.000
FSNSC            149.179             149.179             0.000         0.000
FSNSC_ICE         21.566              21.566             0.000         0.000
FSNSC_LAND       103.048             103.048             0.000         0.000
FSNT             155.821             155.821             0.000         0.000
FSNTC            195.736             195.736             0.000         0.000
ICEAREA            5.746               5.746             0.000         0.000
LHFLX             81.373              81.373             0.000         0.000
LWCF              21.982              21.982             0.000         0.000
PRECT              2.731               2.731             0.000         0.000
PRECT_LAND         1.539               1.539             0.000         0.000
PRECT_OCEAN        3.038               3.038             0.000         0.000
PREH2O            17.596              17.596             0.000         0.000
PREH2O_OCEAN      19.430              19.430             0.000         0.000
PSI_200            7.879               7.879             0.000         0.000
PS               983.515             983.515             0.000         0.000
PSL             1007.838            1007.838             0.000         0.000
QFLX               2.753               2.753             0.000         0.000
SHFLX             17.279              17.279             0.000         0.000
SNOWHLND         470.451             470.451             0.000         0.000
SST               14.403              14.403             0.000         0.000
STRESS_MAG         0.091               0.091             0.000         0.000
SWCF             -39.915             -39.915             0.000         0.000
T_850            275.444             275.444             0.000         0.000
TGCLDLWP          80.585              80.585             0.000         0.000
TGCLDIWP          10.773              10.773             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.088               0.088             0.000         0.000
AODDUST            0.001               0.001             0.000         0.000
TREFHT           281.134             281.134             0.000         0.000
TS               282.166             282.166             0.000         0.000
TS_LAND          263.777             263.777             0.000         0.000
U_200             23.490              23.490             0.000         0.000
VT_850            -0.404              -0.404             0.000         0.000
Z3_500            55.043              55.043             0.000         0.000
