DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: F2000_cosp2_runall_001 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4_runall_001 (yrs 1-4)
 
Variable    F2000_cosp2_runall_001  F2000_cosp1p4_runall_001  F2000_cosp2_runall_001        RMSE
                                                      -F2000_cosp1p4_runall_001
RESTOM            63.694              63.694             0.000         0.000
RESSURF           22.509              22.509             0.000         0.000
SOLIN            413.217             413.217             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.515              -0.515             0.000         0.000
CLDHGH            52.702              52.702             0.000         0.000
CLDLOW            20.197              20.197             0.000         0.000
CLDMED            22.861              22.861             0.000         0.000
CLDTOT            63.941              63.941             0.000         0.000
EKE_850           12.202              12.202             0.000         0.000
EP             2.612e-03           2.612e-03         0.000e+00         0.000
FLNS              57.481              57.481             0.000         0.000
FLNSC             70.378              70.378             0.000         0.000
FLNT             250.480             250.480             0.000         0.000
FLNTC            280.905             280.905             0.000         0.000
FSDS             239.210             239.210             0.000         0.000
FSDSC            294.807             294.807             0.000         0.000
FSNS             221.598             221.598             0.000         0.000
FSNSC            273.808             273.808             0.000         0.000
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       246.087             246.087             0.000         0.000
FSNT             314.174             314.174             0.000         0.000
FSNTC            363.252             363.252             0.000         0.000
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            120.670             120.670             0.000         0.000
LWCF              30.425              30.425             0.000         0.000
PRECT              4.166               4.166             0.000         0.000
PRECT_LAND         4.757               4.757             0.000         0.000
PRECT_OCEAN        3.972               3.972             0.000         0.000
PREH2O            38.842              38.842             0.000         0.000
PREH2O_OCEAN      40.658              40.658             0.000         0.000
PSI_200            1.523               1.523             0.000         0.000
PS               995.940             995.940             0.000         0.000
PSL             1010.583            1010.583             0.000         0.000
QFLX               4.168               4.168             0.000         0.000
SHFLX             20.938              20.938             0.000         0.000
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.145              27.145             0.000         0.000
STRESS_MAG         0.059               0.059             0.000         0.000
SWCF             -49.078             -49.078             0.000         0.000
T_850            288.947             288.947             0.000         0.000
TGCLDLWP          50.482              50.482             0.000         0.000
TGCLDIWP          17.043              17.043             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.152               0.152             0.000         0.000
AODDUST            0.034               0.034             0.000         0.000
TREFHT           298.256             298.256             0.000         0.000
TS               299.639             299.639             0.000         0.000
TS_LAND          297.399             297.399             0.000         0.000
U_200              4.325               4.325             0.000         0.000
VT_850            -2.553              -2.553             0.000         0.000
Z3_500            58.309              58.309             0.000         0.000
