DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: F2000_cosp2_runall_001 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4_runall_001 (yrs 1-4)
 
Variable    F2000_cosp2_runall_001  F2000_cosp1p4_runall_001  F2000_cosp2_runall_001        RMSE
                                                      -F2000_cosp1p4_runall_001
RESTOM            42.179              42.179             0.000         0.000
RESSURF            6.479               6.479             0.000         0.000
SOLIN            389.242             389.242             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.373              -0.373             0.000         0.000
CLDHGH            50.191              50.191             0.000         0.000
CLDLOW            23.138              23.138             0.000         0.000
CLDMED            22.516              22.516             0.000         0.000
CLDTOT            64.890              64.890             0.000         0.000
EKE_850           11.053              11.053             0.000         0.000
EP             1.741e-01           1.741e-01         0.000e+00         0.000
FLNS              55.343              55.343             0.000         0.000
FLNSC             69.717              69.717             0.000         0.000
FLNT             250.770             250.770             0.000         0.000
FLNTC            279.991             279.991             0.000         0.000
FSDS             220.800             220.800             0.000         0.000
FSDSC            276.433             276.433             0.000         0.000
FSNS             204.258             204.258             0.000         0.000
FSNSC            256.327             256.327             0.000         0.000
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       230.950             230.950             0.000         0.000
FSNT             292.949             292.949             0.000         0.000
FSNTC            341.514             341.514             0.000         0.000
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            120.860             120.860             0.000         0.000
LWCF              29.220              29.220             0.000         0.000
PRECT              3.978               3.978             0.000         0.000
PRECT_LAND         4.022               4.022             0.000         0.000
PRECT_OCEAN        3.944               3.944             0.000         0.000
PREH2O            39.390              39.390             0.000         0.000
PREH2O_OCEAN      40.932              40.932             0.000         0.000
PSI_200           -2.872              -2.872             0.000         0.000
PS               997.703             997.703             0.000         0.000
PSL             1012.384            1012.384             0.000         0.000
QFLX               4.152               4.152             0.000         0.000
SHFLX             21.576              21.576             0.000         0.000
SNOWHLND           0.000               0.000             0.000         0.000
SST               26.949              26.949             0.000         0.000
STRESS_MAG         0.067               0.067             0.000         0.000
SWCF             -48.565             -48.565             0.000         0.000
T_850            288.923             288.923             0.000         0.000
TGCLDLWP          52.946              52.946             0.000         0.000
TGCLDIWP          15.847              15.847             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.169               0.169             0.000         0.000
AODDUST            0.034               0.034             0.000         0.000
TREFHT           298.189             298.189             0.000         0.000
TS               299.604             299.604             0.000         0.000
TS_LAND          297.876             297.876             0.000         0.000
U_200             -1.877              -1.877             0.000         0.000
VT_850             3.556               3.556             0.000         0.000
Z3_500            58.443              58.443             0.000         0.000
