DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: F2000_cosp2_runall_001 (yrs 1-4)
 
CONTROL CASE: F2000_cosp1p4_runall_001 (yrs 1-4)
 
Variable    F2000_cosp2_runall_001  F2000_cosp1p4_runall_001  F2000_cosp2_runall_001        RMSE
                                                      -F2000_cosp1p4_runall_001
RESTOM            69.230              69.230             0.000         0.000
RESSURF           34.942              34.942             0.000         0.000
SOLIN            418.005             418.005             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.446              -0.446             0.000         0.000
CLDHGH            52.928              52.928             0.000         0.000
CLDLOW            21.209              21.209             0.000         0.000
CLDMED            22.265              22.265             0.000         0.000
CLDTOT            65.102              65.102             0.000         0.000
EKE_850           12.762              12.762             0.000         0.000
EP            -1.075e-01          -1.075e-01         0.000e+00         0.000
FLNS              56.620              56.620             0.000         0.000
FLNSC             70.201              70.201             0.000         0.000
FLNT             250.350             250.350             0.000         0.000
FLNTC            280.613             280.613             0.000         0.000
FSDS             243.256             243.256             0.000         0.000
FSDSC            299.631             299.631             0.000         0.000
FSNS             225.747             225.747             0.000         0.000
FSNSC            278.764             278.764             0.000         0.000
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       249.589             249.589             0.000         0.000
FSNT             319.580             319.580             0.000         0.000
FSNTC            368.933             368.933             0.000         0.000
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            111.918             111.918             0.000         0.000
LWCF              30.263              30.263             0.000         0.000
PRECT              3.988               3.988             0.000         0.000
PRECT_LAND         4.773               4.773             0.000         0.000
PRECT_OCEAN        3.727               3.727             0.000         0.000
PREH2O            39.471              39.471             0.000         0.000
PREH2O_OCEAN      40.630              40.630             0.000         0.000
PSI_200           -1.218              -1.218             0.000         0.000
PS               996.806             996.806             0.000         0.000
PSL             1011.414            1011.414             0.000         0.000
QFLX               3.881               3.881             0.000         0.000
SHFLX             22.267              22.267             0.000         0.000
SNOWHLND           0.000               0.000             0.000         0.000
SST               26.946              26.946             0.000         0.000
STRESS_MAG         0.051               0.051             0.000         0.000
SWCF             -49.352             -49.352             0.000         0.000
T_850            289.383             289.383             0.000         0.000
TGCLDLWP          50.306              50.306             0.000         0.000
TGCLDIWP          17.556              17.556             0.000         0.000
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.155               0.155             0.000         0.000
AODDUST            0.034               0.034             0.000         0.000
TREFHT           298.454             298.454             0.000         0.000
TS               299.959             299.959             0.000         0.000
TS_LAND          299.402             299.402             0.000         0.000
U_200              1.661               1.661             0.000         0.000
VT_850             0.649               0.649             0.000         0.000
Z3_500            58.407              58.407             0.000         0.000
